unique_id,greenup_coef,abs_greenup_coef,greenup_p_value
Brazil_555758993,3.11787293812312,3.11787293812312,0.0234904402722174
Brazil_555758996,-0.127775720961972,0.127775720961972,0.653057987782702
Brazil_555759011,1.44464837340186,1.44464837340186,0.309156453453568
Brazil_555759024,1.44261377215479,1.44261377215479,0.0371133258666638
Australia_563,0.0549173204142948,0.0549173204142948,0.485517805727149
Australia_565_A,-0.134700958152824,0.134700958152824,0.00168979101854139
Australia_565_B,0.000882899656784104,0.000882899656784104,0.937881427826383
Australia_565_C,-0.0331984427695965,0.0331984427695965,0.0796015404644241
Australia_572,-0.072388657208629,0.072388657208629,0.296031305738485
Australia_574,0.0590756913367752,0.0590756913367752,0.0479551202728334
Australia_576,-0.0676732541575792,0.0676732541575792,0.241549674818939
Australia_581,1.0297502691553,1.0297502691553,0.254392758769426
Australia_582,-0.040520613383107,0.040520613383107,0.110926056732128
Australia_585,1.18544999885106,1.18544999885106,0.0245810058279525
Australia_586,-0.33849040533318,0.33849040533318,4.77387824068548e-06
Australia_590,1.42771653115958,1.42771653115958,0.0701521396725131
Italy_5960,-0.0259128543274715,0.0259128543274715,0.915886270949903
Italy_5963,0.148950455035645,0.148950455035645,0.413263545297667
Benin_597,-0.0996663489413157,0.0996663489413157,0.71124462845614
Botswana_600,-0.00420882779710563,0.00420882779710563,0.728957923946718
Bulgaria_602,-0.592287024831677,0.592287024831677,0.00347929764694417
Cameroon_606,-0.469293435062869,0.469293435062869,0.0590107574246686
Italy_6066,-0.0789427711456088,0.0789427711456088,0.68095542217653
Cameroon_607,-0.1237864788846,0.1237864788846,0.529714077928474
Cameroon_608,-0.823311443814929,0.823311443814929,0.0044773784669448
Chad_609,-0.308752683267336,0.308752683267336,0.271792947051413
Cameroon_610,0.132040344048017,0.132040344048017,0.491245955028276
Norway_6138,0.593218495127874,0.593218495127874,0.561272671199983
Lebanon_61518,0.284510604754914,0.284510604754914,0.0751885174184607
Bolivia_61556,-2.65878056640494,2.65878056640494,0.0756500118628943
Canada_61596,-0.601553687141298,0.601553687141298,0.00665223403235896
Canada_61599,-0.0294805266957639,0.0294805266957639,0.828448575089159
Norway_6167,-0.36925854603149,0.36925854603149,0.389015544262767
Brazil_61690,-0.237517087576724,0.237517087576724,0.295740855880588
Canada_617,0.253881045136782,0.253881045136782,0.150964524869018
Cyprus_61742,0.135708369619442,0.135708369619442,0.0811954024147603
Cyprus_61751,-0.0927953442833373,0.0927953442833373,0.510174550514336
Canada_618,0.0343421905610399,0.0343421905610399,0.833259456246274
Italy_6181,-0.0636833707975394,0.0636833707975394,0.5551251999351
Vietnam_61935,1.811096413814,1.811096413814,0.437021074768928
Brazil_62,0.663143336408612,0.663143336408612,0.574606451623482
Canada_620,-0.127238245219021,0.127238245219021,0.655563390152952
Albania_62072,0.828897824316226,0.828897824316226,1.6598916226023e-05
Norway_62103,-1.16494720522583,1.16494720522583,0.00533050885169257
Norway_62105,-0.749073871936654,0.749073871936654,0.127266518538605
Norway_62106,0.313383602125837,0.313383602125837,0.476927668915488
Norway_62108,-0.494518379879384,0.494518379879384,0.084222615285791
Norway_62109,0.109079776873513,0.109079776873513,0.676035664037264
Norway_62111,-0.547946369006719,0.547946369006719,0.415108273570846
Norway_62112,-0.075702650342745,0.075702650342745,0.896886949628232
Bulgaria_62485,-0.463690738942839,0.463690738942839,0.00340445032480797
Kazakhstan_62641,-0.706598498059665,0.706598498059665,0.2020878055857
Armenia_62677,-2.26333757406974,2.26333757406974,0.0163404676792539
Ukraine_62695,-0.0978323289740511,0.0978323289740511,0.626007602458511
France_62822,-0.297321588557532,0.297321588557532,0.079626262773869
Australia_62993,-0.0330408141158976,0.0330408141158976,0.712094993863004
Australia_63030,-0.0867837328436051,0.0867837328436051,0.718070334235007
Australia_63144,0.185346059682568,0.185346059682568,0.876910820410412
Australia_63179,-0.377997153572563,0.377997153572563,0.711257868898
Australia_63182,-0.367723954036383,0.367723954036383,0.582192112956174
Australia_63202,0.491045998838472,0.491045998838472,0.859428506444579
Australia_63203,0.40308499434554,0.40308499434554,0.780815529768134
Australia_63209,-0.820909587138437,0.820909587138437,0.00624922144723986
Australia_63222,-0.787732303364887,0.787732303364887,0.350463957670837
Australia_63224,0.197538020631229,0.197538020631229,0.53587002975789
Australia_63273,0.47881469000763,0.47881469000763,0.501469005399565
Australia_63276,-2.00153333137079,2.00153333137079,0.596286069983664
Australia_63292,-0.351834090805192,0.351834090805192,0.253150938830625
Australia_63296,0.954972169351164,0.954972169351164,0.0167021449975859
Canada_632_A,-0.148403880088148,0.148403880088148,0.600207515252822
Australia_63314,0.204349127937536,0.204349127937536,0.85437625444368
Australia_63333,0.281260880964968,0.281260880964968,0.829579415808484
Australia_63339,-1.41326375640077,1.41326375640077,0.0607411967195841
Australia_63341,-1.48927732171187,1.48927732171187,0.0434992701351891
Australia_63353,-1.90553044442108,1.90553044442108,0.109105692095946
Australia_63364,0.040331394963547,0.040331394963547,0.976517797551186
Australia_63377,0.0802122970701714,0.0802122970701714,0.752812430044024
Australia_63386,-0.092971433572264,0.092971433572264,0.565143294732761
Australia_63387,0.974675427321593,0.974675427321593,0.124387001319539
Canada_634,-0.356229810685062,0.356229810685062,0.0834252917973437
Australia_63407,-0.188383529370329,0.188383529370329,0.673901790939104
Australia_63414,0.356721047319625,0.356721047319625,0.256957688820442
Australia_63417,-0.206109764554648,0.206109764554648,0.0388136561545017
Australia_63419,0.255374201818445,0.255374201818445,0.550704407842168
Australia_63423,0.300809618688461,0.300809618688461,0.545915756972776
Australia_63426,1.17297547039836,1.17297547039836,0.0054134106709352
