unique_id,burned_area_coef,abs_burned_area_coef,burned_area_p_value
Argentina_10,0.00104448500621967,0.00104448500621967,0.0923597153153237
Chile_100,2.0518825574608e-08,2.0518825574608e-08,0.46858476656728
United States of America_1000,9.8492187226437e-05,9.8492187226437e-05,0.721294551949066
Malaysia_10000,0,0,
Kazakhstan_100017,-4.5444229995528e-05,4.5444229995528e-05,0.397741061469988
Canada_100204,-0.00125122408408348,0.00125122408408348,0.298452439379974
Canada_100206,-0.000777640336998594,0.000777640336998594,0.619928496210258
Canada_100285,0.000640227006746134,0.000640227006746134,0.273814805590529
Chile_101,0,0,
Vietnam_10110,-0.000299061724489528,0.000299061724489528,0.383231033738378
Venezuela_101136,-0.00103998854583895,0.00103998854583895,0.00927140106369643
Algeria_101170,-0.000965063799145318,0.000965063799145318,0.0507693099133937
Morocco_101232,0,0,
Mexico_101411,0,0,
Mexico_101414,4.29223860578029e-05,4.29223860578029e-05,0.759284220983879
Albania_101424,-0.000170159068579251,0.000170159068579251,0.533001824253689
Burundi_101434,0.000525917250629552,0.000525917250629552,0.200044783454668
Albania_101474,-0.000147163718637889,0.000147163718637889,0.865573270690087
Mexico_101571,0.000206935966575981,0.000206935966575981,0.185761922896542
Canada_101590,6.02373918365653e-05,6.02373918365653e-05,0.174797085818559
Canada_101597_A,0.000139139230292857,0.000139139230292857,0.374359628663038
Canada_101637,-1.86505801618087e-05,1.86505801618087e-05,0.210669711822518
Canada_101638,-3.09668026864301e-05,3.09668026864301e-05,0.175057875656907
Canada_101639,0.000615268315609276,0.000615268315609276,0.844924112203733
Canada_101642,5.90882816617912e-06,5.90882816617912e-06,0.673085846855737
Canada_101643,0.00109633425741354,0.00109633425741354,0.129096407169604
Canada_101644,-8.54749400688358e-06,8.54749400688358e-06,0.888913110018142
Canada_101647,2.31419356970603e-05,2.31419356970603e-05,0.549201442760736
Canada_101649,-8.94233046133506e-05,8.94233046133506e-05,0.00700711265053295
Canada_101653,0.000947633410287357,0.000947633410287357,0.375659470518666
Canada_101654,0.00513818623706109,0.00513818623706109,0.00809933015259003
Canada_101655,3.63168100991496e-06,3.63168100991496e-06,0.0781671035985405
Canada_101656,0.00155205003827713,0.00155205003827713,0.14492304029995
Canada_101658,-0.000593315120866926,0.000593315120866926,0.673085855272253
Canada_101662,0.00362683596916268,0.00362683596916268,0.468602142917421
Canada_101670_A,0.000184927420442981,0.000184927420442981,0.374359628745227
Canada_101671,-0.00531224841414701,0.00531224841414701,0.0944926347938646
Canada_101672,2.32401802000843e-05,2.32401802000843e-05,0.63564181933324
Canada_101675,-0.00166856041219856,0.00166856041219856,0.170259466214945
Canada_101679_A,-0.000151082317022264,0.000151082317022264,0.0919826633268064
Canada_101684,-2.35510223027978e-05,2.35510223027978e-05,0.210669718889135
Canada_101688_A,0,0,
Canada_101699,-7.64810063847853e-05,7.64810063847853e-05,0.144923042123355
Canada_101701,0,0,
Canada_101707,0.00079104202892005,0.00079104202892005,0.138432895357753
Canada_101708,0,0,
Canada_101722,0.00425388891767526,0.00425388891767526,0.469588103992301
Canada_101724,0,0,
Canada_101726,-0.00294123309698359,0.00294123309698359,0.144923021927355
Canada_101728,0.00127544013470413,0.00127544013470413,0.468584752152902
Canada_101729,5.62567769491742e-07,5.62567769491742e-07,0.568675105948629
Canada_101731,-0.000333816910739675,0.000333816910739675,0.673085864760505
Canada_101734,0.000155104901349005,0.000155104901349005,0.782866953597593
Canada_101739,0,0,
Canada_101740,0.000350023456698704,0.000350023456698704,0.391601801045431
Canada_101742,0.00808974092827867,0.00808974092827867,0.144923034656242
Saudi Arabia_101910,0,0,
Kazakhstan_101947,-3.55595975728561e-05,3.55595975728561e-05,0.0262441236522841
Finland_101951,-1.32204973826462e-06,1.32204973826462e-06,0.468584756906241
Finland_101964,0,0,
Finland_101965,0,0,
Russia_101968,0,0,
Finland_101969,0,0,
Finland_101971,0,0,
Finland_101973,0,0,
Finland_101974,0,0,
Finland_101978,0,0,
Finland_101982,0,0,
Russia_102007,0,0,
Finland_102008,0,0,
Finland_102009,0,0,
Finland_102010,0,0,
Finland_102011,0,0,
Finland_102013,0,0,
Finland_102014,-2.60987761133442e-05,2.60987761133442e-05,0.374359631537061
Finland_102015,0,0,
Finland_102016,0,0,
Finland_102017,0,0,
Finland_102018,0,0,
Finland_102020,0,0,
Finland_102021,0,0,
Finland_102024,-2.30604756288288e-05,2.30604756288288e-05,0.374359631537061
Finland_102025,0,0,
Finland_102028,0,0,
Finland_102029,0,0,
Finland_102030,0,0,
Finland_102032,0,0,
Finland_102034,0,0,
Finland_102039,0,0,
Finland_102042,0,0,
Finland_102051,0,0,
Finland_102055,0,0,
Finland_102056,0,0,
Finland_102058,0,0,
Finland_102062,0,0,
Finland_102063,0,0,
Finland_102071,0,0,
Finland_102072,0,0,
Finland_102073,0,0,
Finland_102076,0,0,
Finland_102077,0,0,
Finland_102079,0,0,
Finland_102081,0,0,
Finland_102102,0,0,
Ukraine_102250,-1.07222963087757e-06,1.07222963087757e-06,0.994155866530578
United States of America_1023,-1.03356661002314e-07,1.03356661002314e-07,0.568675111433567
Costa Rica_102334,1.93806000372921e-05,1.93806000372921e-05,0.0449396657340521
Costa Rica_102337,0,0,
Costa Rica_102367,1.7300828829217e-22,1.7300828829217e-22,1
Australia_102535,1.47159092507058e-06,1.47159092507058e-06,0.298372517135301
Australia_102538,0.000886838402656837,0.000886838402656837,0.219506657702291
Australia_102539,0,0,
Australia_102541,-0.000784148874278334,0.000784148874278334,0.916412192587129
Australia_102543,8.17242131889797e-06,8.17242131889797e-06,0.210669733126514
Australia_102551,-0.00955884455301124,0.00955884455301124,0.371557417240318
Australia_102553,0.000103276229451887,0.000103276229451887,0.37270314816006
Australia_102555,-0.0307753140257251,0.0307753140257251,0.314097628696597
Australia_102558,0.000324966004971266,0.000324966004971266,0.468492937435008
Australia_102569,-6.01287705788781e-05,6.01287705788781e-05,0.277392908304116
Australia_102574_A,4.23581436954777e-05,4.23581436954777e-05,0.815395852248816
Australia_102575,-0.00411424204928139,0.00411424204928139,0.125355181747841
Australia_102579,6.52467870351768e-05,6.52467870351768e-05,0.14492302633066
Australia_102593,0,0,
Pakistan_10270,0,0,
Indonesia_10288,-1.54899181669831e-05,1.54899181669831e-05,0.540205409183325
Guatemala_102929,-0.00048217207012953,0.00048217207012953,0.345940829105916
Guatemala_103039,4.48000220294722e-05,4.48000220294722e-05,0.736286832703161
Indonesia_10312,4.4454369038332e-06,4.4454369038332e-06,0.568675122144711
Germany_103142,0,0,
Sri Lanka_10327,-0.000695795691816454,0.000695795691816454,0.0105594791096131
Sweden_103386,0,0,
United States of America_1035,-3.52471919184942e-06,3.52471919184942e-06,0.893593929877255
Vietnam_10357,-0.000612555362746669,0.000612555362746669,0.404140138738301
Vietnam_10364,2.93791967171843e-05,2.93791967171843e-05,0.877536011587365
Vietnam_10380,-0.000241576435617496,0.000241576435617496,0.29504076552979
Cambodia_10395,-0.000422433730180548,0.000422433730180548,0.0676525139450339
Chile_104,0,0,
Sweden_10404,0,0,
Sweden_10409,0,0,
Sweden_10441,0,0,
Burkina Faso_1049,-0.00650062050001468,0.00650062050001468,0.0117373028539661
North Macedonia_1050,0.000180892012350099,0.000180892012350099,0.451160003832077
Montenegro_1051,-8.13793423716593e-05,8.13793423716593e-05,0.868265137173814
Bosnia and Herzegovina_1055,9.12270326173333e-06,9.12270326173333e-06,0.323176869523594
United Kingdom_10558,0,0,
Australia_10586,4.5914394415994e-05,4.5914394415994e-05,0.887802753890959
Australia_10589,0.00196019799083695,0.00196019799083695,0.367389510920269
Montenegro_1059,1.59745322791246e-05,1.59745322791246e-05,0.889841445362696
Australia_10596,-0.000909940696903475,0.000909940696903475,0.822697057267323
Australia_10606,0.000101478103565566,0.000101478103565566,0.698295906069386
Australia_10628,-0.000584936242453829,0.000584936242453829,0.0961550165121021
Sweden_106835,0,0,
Sweden_106838,0,0,
Chile_107,0,0,
Guatemala_107119,-5.36572389532672e-05,5.36572389532672e-05,0.0919826611495446
Guatemala_107148,-0.00012179719512158,0.00012179719512158,0.92012417872461
Sierra Leone_10732,-0.00943751990669622,0.00943751990669622,0.00347210350886994
Ethiopia_10739,-0.0016855403175817,0.0016855403175817,0.57772894004633
El Salvador_107448,0,0,
Brazil_10795,-6.65474440483049e-05,6.65474440483049e-05,0.962532691694451
Costa Rica_108140,0.000724091499083608,0.000724091499083608,0.462453693407229
Costa Rica_108146,0,0,
Costa Rica_108151,5.89275494167098e-05,5.89275494167098e-05,0.375825693493927
Costa Rica_108154,0,0,
Brazil_10822,2.6933984961104e-05,2.6933984961104e-05,0.468584748071709
Brazil_10823,-4.00396679501791e-05,4.00396679501791e-05,0.191895138224234
South Sudan_1083,-0.000827237703165161,0.000827237703165161,0.793827401827023
Brazil_10842,6.27906248721781e-05,6.27906248721781e-05,0.886869291020862
Brazil_10845,-4.29934545642476e-06,4.29934545642476e-06,0.319169259311936
Brazil_10846,0,0,
Zambia_1086,-0.00270780248139469,0.00270780248139469,0.00564390370446052
Argentina_10862,-0.00027713249428127,0.00027713249428127,0.338860383386785
Argentina_10879,0.000124068782532956,0.000124068782532956,0.328686111455913
Zambia_1088,-0.00771814803665122,0.00771814803665122,0.00135072810638276
Zambia_1089,0.00159238204438019,0.00159238204438019,0.529440076947681
Zambia_1090,-0.00186003304580348,0.00186003304580348,0.210105120251211
Zambia_1091,-0.00339887493804839,0.00339887493804839,0.0743378034856223
Zambia_1092,0.00230141615368752,0.00230141615368752,0.153748609280157
Zambia_1093,0.000403602854686319,0.000403602854686319,0.863345454095146
South Korea_10933,3.84715707548708e-05,3.84715707548708e-05,0.468584753460025
Zambia_1094,0.00462861229115997,0.00462861229115997,0.261818925368862
Zambia_1095,-0.000223271182172825,0.000223271182172825,0.943232796770503
Zambia_1096,0.000222315104641292,0.000222315104641292,0.920873667710911
Zambia_1098,0.00161701420367379,0.00161701420367379,0.320467351771623
Zambia_1099,0.00348375340490287,0.00348375340490287,0.013337609233049
Bolivia_11,-3.08585675601249e-05,3.08585675601249e-05,0.00261426279785499
Mozambique_1104,-0.0142617708056801,0.0142617708056801,0.000154400634615145
Zimbabwe_1105,-0.00989513771843457,0.00989513771843457,0.0268744843169521
Zimbabwe_1107,-0.0141372301359286,0.0141372301359286,0.00116553412398741
Zimbabwe_1110,0.0023014317138941,0.0023014317138941,0.300440478132898
Zimbabwe_1111,-4.17668179777218e-05,4.17668179777218e-05,0.991354290184552
United States of America_1111115,0,0,
United States of America_1111116,0,0,
United States of America_1111118,-9.08308784596107e-06,9.08308784596107e-06,0.287758638776769
United States of America_11111187,-0.000888503417271096,0.000888503417271096,0.287758647075319
United States of America_11111188,0.000712840565930085,0.000712840565930085,0.78631171573124
United States of America_11111189,0,0,
United States of America_11111190,-1.75955577342811e-06,1.75955577342811e-06,0.780499933773934
United States of America_11111191,0,0,
United States of America_11111192,0.000184578909554427,0.000184578909554427,0.474557835664147
United States of America_11111194,-0.00107674486779823,0.00107674486779823,0.497148366660342
United States of America_11111199,0,0,
United States of America_1111120,-5.98169545926488e-05,5.98169545926488e-05,0.226931378495241
United States of America_11111200,-9.07671388367615e-05,9.07671388367615e-05,0.714659181696841
United States of America_11111202,-0.000628306157089723,0.000628306157089723,0.926109427155097
United States of America_11111203,0.00314898038578856,0.00314898038578856,0.4360488524066
United States of America_11111204,-0.00295296190374199,0.00295296190374199,0.375555910015284
