unique_id,mean_evi_coef,abs_mean_evi_coef,mean_evi_p_value
Argentina_10,0.232198238380004,0.232198238380004,0.969238984141171
Chile_100,-22.6165455285401,22.6165455285401,0.0594656568113191
United States of America_1000,2.2523820458607,2.2523820458607,0.248033116181629
Malaysia_10000,10.0923805173922,10.0923805173922,0.160255468204476
Kazakhstan_100017,2.72252689683864,2.72252689683864,0.466323931141726
Canada_100204,26.1621443033982,26.1621443033982,0.000646364254666656
Canada_100206,3.37838227350985,3.37838227350985,0.747882914372234
Canada_100285,2.02353622533998,2.02353622533998,0.687793945351132
Chile_101,-13.13927212297,13.13927212297,0.305519642088393
Vietnam_10110,35.3258333933143,35.3258333933143,0.00122653228944618
Venezuela_101136,13.9590061632839,13.9590061632839,0.0215828593890185
Algeria_101170,0.552799144716924,0.552799144716924,0.944605615576607
Morocco_101232,-0.0553006939494851,0.0553006939494851,0.93011369059806
Mexico_101411,20.3167438629295,20.3167438629295,0.0473802191063996
Mexico_101414,21.398251156814,21.398251156814,0.511008294586293
Albania_101424,9.09191350632855,9.09191350632855,0.184511131347276
Burundi_101434,-11.7331623861762,11.7331623861762,0.275609435736331
Albania_101474,0.836309572782712,0.836309572782712,0.87720773952968
Mexico_101571,3.85202472787925,3.85202472787925,0.799472133436164
Canada_101590,7.09475424257458,7.09475424257458,0.000806058068880677
Canada_101597_A,4.52113490491101,4.52113490491101,0.400693232584568
Canada_101637,2.74899983799222,2.74899983799222,0.778729040638586
Canada_101638,-11.303684407621,11.303684407621,0.146182651113618
Canada_101639,0.15046831214874,0.15046831214874,0.997037281421193
Canada_101642,4.99788845670317,4.99788845670317,0.370779979519591
Canada_101643,-7.39778805416644,7.39778805416644,0.161075985832643
Canada_101644,-0.0688911209977974,0.0688911209977974,0.991730157132456
Canada_101647,-6.70487771183169,6.70487771183169,0.0294662779631694
Canada_101649,5.2572630662517,5.2572630662517,0.0939308239129453
Canada_101653,-2.78566999267197,2.78566999267197,0.438193028939039
Canada_101654,-19.9260602978048,19.9260602978048,0.0248601842843195
Canada_101655,2.01595914439559,2.01595914439559,0.677587742294903
Canada_101656,-14.3021006999962,14.3021006999962,0.223447746054435
Canada_101658,-9.01418054928638,9.01418054928638,0.646968594793502
Canada_101662,-13.3362860868823,13.3362860868823,0.347313837134607
Canada_101670_A,-2.48468519743135,2.48468519743135,0.625155034734547
Canada_101671,3.89907004746704,3.89907004746704,0.916229063550017
Canada_101672,11.6824891777954,11.6824891777954,0.0138888451647906
Canada_101675,21.7907580905947,21.7907580905947,0.00158957605878131
Canada_101679_A,-5.65736726506913,5.65736726506913,0.127225226844569
Canada_101684,-14.5311010921257,14.5311010921257,0.0224288767656781
Canada_101688_A,-6.09544079658941,6.09544079658941,0.347921821540848
Canada_101699,-1.49620417842413,1.49620417842413,0.728984090260976
Canada_101701,-1.5901715632726,1.5901715632726,0.739580170789322
Canada_101707,-1.86891498762383,1.86891498762383,0.871063987884826
Canada_101708,4.85867788461992,4.85867788461992,0.452270281504528
Canada_101722,-6.57572212944199,6.57572212944199,0.636638709665571
Canada_101724,3.17130840276594,3.17130840276594,0.732840722047642
Canada_101726,-10.5843172908495,10.5843172908495,0.79238455431669
Canada_101728,5.91426323260395,5.91426323260395,0.160049757604747
Canada_101729,14.4250476061333,14.4250476061333,0.310397123981356
Canada_101731,4.73970895556859,4.73970895556859,0.388099814605213
Canada_101734,-4.61532012605386,4.61532012605386,0.45938871974312
Canada_101739,9.45536665980309,9.45536665980309,0.780124724079589
Canada_101740,10.7386666398151,10.7386666398151,0.0907627445874395
Canada_101742,-16.5790319693345,16.5790319693345,0.401635995837477
Saudi Arabia_101910,0.837888184443186,0.837888184443186,0.219934310261714
Kazakhstan_101947,-2.57225632459865,2.57225632459865,0.513274219158834
Finland_101951,10.5323488713614,10.5323488713614,0.115999576237841
Finland_101964,2.41315161798596,2.41315161798596,0.488028634857319
Finland_101965,7.94561010314208,7.94561010314208,0.163940666083814
Russia_101968,13.2144209832079,13.2144209832079,0.147897534363723
Finland_101969,14.4905770902497,14.4905770902497,0.00318269898153513
Finland_101971,4.23975441000435,4.23975441000435,0.480452046954054
Finland_101973,4.83972053239618,4.83972053239618,0.15427380663441
Finland_101974,5.16145681910518,5.16145681910518,0.42348437512194
Finland_101978,15.4383674680464,15.4383674680464,0.00267796698134815
Finland_101982,5.41996479967817,5.41996479967817,0.299944151189422
Russia_102007,16.4189738752071,16.4189738752071,0.000270985515076679
Finland_102008,16.4589820846455,16.4589820846455,0.00254634379511602
Finland_102009,20.2119962606964,20.2119962606964,0.0007325562311375
Finland_102010,20.9413385054925,20.9413385054925,0.0030066192416468
Finland_102011,15.8984357725688,15.8984357725688,0.00314277743433077
Finland_102013,16.1228234208416,16.1228234208416,0.0636930329300825
Finland_102014,7.08512504410721,7.08512504410721,0.0966326195254423
Finland_102015,9.4208338652914,9.4208338652914,0.12436705025466
Finland_102016,9.87824317721137,9.87824317721137,0.0782083546973886
Finland_102017,14.6419032068641,14.6419032068641,0.0258606102486704
Finland_102018,12.0582930932739,12.0582930932739,0.0293718714490611
Finland_102020,12.7285442462765,12.7285442462765,0.021888292946457
Finland_102021,14.0195213336312,14.0195213336312,0.000471183316834289
Finland_102024,21.3896670390964,21.3896670390964,0.00684685524715056
Finland_102025,11.7500558306287,11.7500558306287,0.152609576403403
Finland_102028,11.4541279732032,11.4541279732032,0.342959227458987
Finland_102029,12.2117684709642,12.2117684709642,0.133530669306136
Finland_102030,16.1908172449299,16.1908172449299,0.0116469728241354
