unique_id,X,Y,og_layer,greenup_coef,abs_greenup_coef,greenup_p_value
Canada_18371_control,-60.0522024775052,50.9460475820303,controls,4.02022465729059,4.02022465729059,0.276058358067736
Norway_183308_control,28.3118867845042,60.8510852387943,controls,-0.319436899738843,0.319436899738843,0.0240356323924397
Canada_18383_control,-118.778863518743,50.4730444921553,controls,-0.015670632313581,0.015670632313581,0.96196517260146
Canada_18396_control,-74.2054852632854,46.8828969593346,controls,-0.142286088135704,0.142286088135704,0.361681674124525
Canada_18400_control,-83.7075549742766,48.737953477503,controls,0.198339800054012,0.198339800054012,0.385897283030256
Canada_18475_control,-111.268743383582,43.7829604571499,controls,-0.319410131505704,0.319410131505704,0.40521667847246
Canada_18543_control,-75.7230305886269,41.9310586573253,controls,0.0646273046155272,0.0646273046155272,0.564950013540603
Canada_18415_control,-70.7720497870585,49.249833951965,controls,1.24700875041522,1.24700875041522,0.246815942010946
Norway_183385_control,29.1105908478191,53.0001807180117,controls,0.258556781019299,0.258556781019299,0.0676809507840393
Norway_183283_control,42.5394702559523,58.4214654226648,controls,-0.017896363900921,0.017896363900921,0.861482296959799
Norway_183312_control,45.3084340012819,59.0395981678111,controls,0.196830246702187,0.196830246702187,0.129519530956269
Norway_183375_control,5.73129487282828,60.4224362357415,controls,-0.0554499146500082,0.0554499146500082,0.794583104655412
Norway_183346_control,41.4142844045162,55.1917286848336,controls,-0.0736826625473743,0.0736826625473743,0.487199631656179
Canada_18497_control,-69.5205953103863,49.201863662973,controls,-0.450458344798393,0.450458344798393,0.0125489318651259
Canada_18541_control,-67.5351689358218,45.168381254829,controls,-0.0466830972700405,0.0466830972700405,0.873238760198555
Canada_18395_control,-113.19129907102,56.5763318596571,controls,0.300758649579639,0.300758649579639,0.455560872159169
Norway_183335_control,52.9867094178871,60.2674120769463,controls,-0.333697507048239,0.333697507048239,0.427141021636592
Norway_183294_control,32.327668029482,57.3753029474616,controls,0.106327541238955,0.106327541238955,0.471974356668698
Canada_18564_control,-72.0959866833757,45.7152893171925,controls,-0.0279540341481843,0.0279540341481843,0.884386509063756
