unique_id,median_evi_coef,abs_median_evi_coef,median_evi_p_value
Canada_101688_A,-7.09180025874029,7.09180025874029,0.372222678952872
Canada_101699,-2.52317806416801,2.52317806416801,0.580888691329528
Canada_101701,3.80191376600932,3.80191376600932,0.543267238815091
Canada_101707,-4.906287966058,4.906287966058,0.709945527252495
Canada_101708,3.8423624609329,3.8423624609329,0.595435931190421
Canada_101722,-3.4670554556102,3.4670554556102,0.810202611357813
Canada_101724,3.49025018770385,3.49025018770385,0.706394572197758
Canada_101726,-10.4994236272451,10.4994236272451,0.727477433859168
Canada_101728,4.70255489642733,4.70255489642733,0.223388275636289
Canada_101729,14.2285287447124,14.2285287447124,0.355732208320332
Canada_101731,3.74868043800814,3.74868043800814,0.580826134752496
Canada_101734,-4.17250383327461,4.17250383327461,0.438622417976288
Canada_101739,8.15531384526411,8.15531384526411,0.771494999836769
Canada_101740,7.33761100351651,7.33761100351651,0.335081509200745
Canada_101742,-12.3642848900318,12.3642848900318,0.355380252142296
Saudi Arabia_101910,0.781764834377005,0.781764834377005,0.233281217060629
Kazakhstan_101947,-0.658959897638616,0.658959897638616,0.862761135142603
Finland_101951,13.8596960219184,13.8596960219184,0.117206856936945
Finland_101964,4.9295725137355,4.9295725137355,0.318785121466624
Finland_101965,7.75196431132703,7.75196431132703,0.282487443496187
Russia_101968,13.2608830001505,13.2608830001505,0.14920663279292
Finland_101969,20.2786633921963,20.2786633921963,0.00116966955138765
Finland_101971,6.43362834918218,6.43362834918218,0.372095389838624
Finland_101973,7.19784851008593,7.19784851008593,0.219027062798461
Finland_101974,5.71177120770058,5.71177120770058,0.326556270331139
Finland_101978,21.866179182288,21.866179182288,0.00719127744021968
Finland_101982,5.18821657191424,5.18821657191424,0.456019062612289
Russia_102007,17.3897103141277,17.3897103141277,0.00580989737116861
Finland_102008,18.7453912121929,18.7453912121929,0.022091473050753
Finland_102009,24.9297706719442,24.9297706719442,3.76860946939315e-05
Finland_102010,28.4015105746677,28.4015105746677,9.37434564607848e-05
Finland_102011,21.4017741530405,21.4017741530405,0.00166503554875392
Finland_102013,19.8714978124544,19.8714978124544,0.0573193264315293
Finland_102014,8.37025097380946,8.37025097380946,0.214384560754779
Finland_102015,11.4066526082488,11.4066526082488,0.254639495863927
Finland_102016,12.5378986642874,12.5378986642874,0.109763506010841
Finland_102017,19.5799822841782,19.5799822841782,0.02417069459486
Finland_102018,16.9659961650643,16.9659961650643,0.00288259705902457
Finland_102020,12.6177468552743,12.6177468552743,0.128816074863966
Finland_102021,18.4190685359727,18.4190685359727,0.00120985726445983
Finland_102024,27.1815623881646,27.1815623881646,0.00667572064794857
Finland_102025,14.1845547196,14.1845547196,0.119823922638898
Finland_102028,12.8761010444716,12.8761010444716,0.341878352437624
Finland_102029,16.6219830087206,16.6219830087206,0.0675632013367447
Finland_102030,22.4596390144647,22.4596390144647,0.0122673514522365
Finland_102032,16.7286455399038,16.7286455399038,0.000834525752223311
Finland_102034,20.8663319712644,20.8663319712644,0.0227058680904368
Finland_102039,9.67166933159855,9.67166933159855,0.248415183031231
Finland_102042,18.2885299404373,18.2885299404373,1.9731559032355e-07
Finland_102051,17.3495100770689,17.3495100770689,0.0143673804718019
Finland_102055,14.2006271728036,14.2006271728036,0.0654577281037075
Finland_102056,7.29679030586014,7.29679030586014,0.27767615541773
Finland_102058,19.0633256155142,19.0633256155142,0.00301653113585938
Finland_102062,24.8067142017606,24.8067142017606,0.01224722511973
Finland_102063,12.9566235888372,12.9566235888372,0.0275854131895136
Finland_102071,19.6862402319358,19.6862402319358,0.0134564199826003
Finland_102072,11.7057526010246,11.7057526010246,0.0577163820758823
Finland_102073,19.3624415364655,19.3624415364655,0.000449175988734879
Finland_102076,16.5506196832565,16.5506196832565,0.0165953478174887
Finland_102077,14.2243061961004,14.2243061961004,0.00328102663804385
Finland_102079,12.7549567701371,12.7549567701371,0.0733784202798263
Finland_102081,16.5574085123163,16.5574085123163,0.0147175001897395
Finland_102102,18.1333395587206,18.1333395587206,0.016129482167377
Ukraine_102250,35.2735047392953,35.2735047392953,0.0113911661220651
United States of America_1023,-0.00455138891898936,0.00455138891898936,0.99936158409818
Costa Rica_102334,-17.0200246039794,17.0200246039794,0.361690821164297
Costa Rica_102337,17.2423152777646,17.2423152777646,0.231113625053602
Costa Rica_102367,-0.158753111629671,0.158753111629671,0.987407725551355
Australia_102535,14.7073007791156,14.7073007791156,0.00573308812869865
Australia_102538,7.47052496005079,7.47052496005079,0.233383097843988
Australia_102539,7.06634697141258,7.06634697141258,0.01094771899398
Australia_102541,3.5969842811306,3.5969842811306,0.856504391346906
Australia_102543,5.39801825555211,5.39801825555211,0.635354931836856
Australia_102551,16.2035162807265,16.2035162807265,0.0286552602847661
Australia_102553,14.7344042152435,14.7344042152435,0.0570059354195209
Australia_102555,16.858362652562,16.858362652562,0.0244735593682843
Australia_102558,13.0210276996866,13.0210276996866,0.03872711186754
Australia_102569,18.7590652529132,18.7590652529132,0.0168350071828521
Australia_102574_A,15.6042841986342,15.6042841986342,0.000612437467896743
Australia_102575,0.196831324741389,0.196831324741389,0.936742030333406
Australia_102579,21.6796185116813,21.6796185116813,1.73025655536079e-05
Australia_102593,6.83561761055392,6.83561761055392,0.266058707260255
Pakistan_10270,3.27004827511055,3.27004827511055,0.179802672668511
Indonesia_10288,2.42336140225863,2.42336140225863,0.760542437547455
Guatemala_102929,9.71050465399061,9.71050465399061,0.0583223487737833
Guatemala_103039,8.13018739221101,8.13018739221101,0.158931200254078
Indonesia_10312,7.77950014714018,7.77950014714018,0.508085454923669
Germany_103142,17.0369592444537,17.0369592444537,0.0831601220734316
Sri Lanka_10327,20.1807562283064,20.1807562283064,0.00876183097661017
Sweden_103386,12.1443808302708,12.1443808302708,0.0567933632146015
United States of America_1035,-6.70923793662685,6.70923793662685,0.152872672458099
Vietnam_10357,18.3193787512526,18.3193787512526,0.133010071161433
Vietnam_10364,37.4273703248486,37.4273703248486,9.46002918568308e-05
Vietnam_10380,12.4945105299908,12.4945105299908,0.101762513964458
Cambodia_10395,23.2637384621458,23.2637384621458,0.00048515371726976
Chile_104,1.4149484385764,1.4149484385764,0.837044487733365
Sweden_10404,18.9255503563881,18.9255503563881,0.0266423856067304
Sweden_10409,19.029876157448,19.029876157448,0.0509469742829809
