unique_id,X,Y,og_layer,evi_coef,abs_evi_coef,evi_p_value
United States of America_367369,-107.722431427499,32.490161023699,protected_areas,-1.57080746835087,1.57080746835087,0.66621274496747
United States of America_367401,-112.830431769214,44.179922608344,protected_areas,4.8502538274049,4.8502538274049,0.278083002274783
United States of America_367403,-124.021678554188,42.7177770680959,protected_areas,3.70736714610831,3.70736714610831,0.504187354161075
United States of America_367423,-117.850118907523,36.2705942978186,protected_areas,2.57920646379298,2.57920646379298,0.518184526571976
United States of America_367467,-111.52071730931,31.9920882729001,protected_areas,2.37016296387967,2.37016296387967,0.386060571824579
United States of America_367485,-80.3132366172164,38.2946070690635,protected_areas,-7.18381519925502,7.18381519925502,0.68653813487068
United States of America_367550,-108.993204378122,37.5234984038179,protected_areas,0.714750293632106,0.714750293632106,0.748058478334662
United States of America_367573,-106.305114348804,36.9326262330741,protected_areas,1.62197196880793,1.62197196880793,0.811872056675827
United States of America_367589,-116.810546771391,44.8173735952618,protected_areas,-21.6475438198789,21.6475438198789,0.0501485526771051
United States of America_367599,-81.4405722647562,30.8675997003028,protected_areas,7.80176872443367,7.80176872443367,0.00889535671494328
United States of America_367631,-81.5653836264218,41.2473872293309,protected_areas,-5.21690611250714,5.21690611250714,0.719768650825271
United States of America_367720,-114.738073170426,34.988524696287,protected_areas,-6.66343520706181,6.66343520706181,0.146310704472834
United States of America_367765,-114.88896463258,37.1500603265532,protected_areas,2.50353764277858,2.50353764277858,0.624161055432402
United States of America_367809,-112.632768284452,40.4599026885207,protected_areas,-1.12820296571706,1.12820296571706,0.936068215455528
United States of America_367828,-92.1527583484005,36.7367425323437,protected_areas,18.7127059398148,18.7127059398148,0.107993074133289
United States of America_367842,-107.210552223818,33.8740360245287,protected_areas,1.3491055542096,1.3491055542096,0.706092297565835
United States of America_367868,-122.09512748542,43.5307648242938,protected_areas,5.19605681327095,5.19605681327095,0.0608463031928963
United States of America_367871,-119.540276783024,34.6932718833356,protected_areas,-12.0363635393439,12.0363635393439,0.657359484176568
United States of America_367883,-119.036226845835,37.1713456556281,protected_areas,-4.66363619833279,4.66363619833279,0.0608599871506395
United States of America_367890,-93.2780792338795,35.8409726038551,protected_areas,-3.0228137911172,3.0228137911172,0.902135252146976
United States of America_367921,-79.3562275308397,39.0170043205516,protected_areas,-7.39908429221917,7.39908429221917,0.471153942853608
United States of America_367954,-109.527787362401,32.2244057374069,protected_areas,-0.798457135169731,0.798457135169731,0.857907837494843
United States of America_367981,-123.927690186535,44.4659932784216,protected_areas,-5.36768958268291,5.36768958268291,0.268219377262187
United States of America_367990,-93.743495669723,35.0272591240598,protected_areas,-5.46164799287964,5.46164799287964,0.696297076778012
United States of America_368000,-112.209228695902,45.972678707648,protected_areas,-5.05249685297583,5.05249685297583,0.188097318039227
United States of America_368002,-119.572720740788,43.6641932501999,protected_areas,0.871956831011945,0.871956831011945,0.864787805097966
United States of America_368029,-85.6008199252172,33.8676195727029,protected_areas,25.8148308917252,25.8148308917252,0.0972646587581091
United States of America_368054,-115.23215965001,46.3802039104327,protected_areas,-1.46998818064173,1.46998818064173,0.903046798502461
United States of America_368090,-106.271659293645,39.6993037273727,protected_areas,0.0313270323365074,0.0313270323365074,0.991947849722051
United States of America_368092,-113.389676546954,33.4065468931469,protected_areas,-1.10446198653927,1.10446198653927,0.807402707702731
United States of America_368110,-113.944362776173,34.0674826808745,protected_areas,0.255117493594718,0.255117493594718,0.945872491507476
United States of America_368120,-92.8736731369227,35.5838465998929,protected_areas,-0.300470133891108,0.300470133891108,0.985561802191398
United States of America_368123,-119.355546805271,41.4311213117228,protected_areas,1.10700390767182,1.10700390767182,0.589783116841616
United States of America_368134,-115.124370970383,40.9466371142839,protected_areas,7.95907891531895,7.95907891531895,0.375103716115197
United States of America_368146,-114.036011139589,48.0174034177463,protected_areas,9.13154168688702,9.13154168688702,0.0222913053312539
United States of America_368220,-114.74783930064,35.8162998590123,protected_areas,-2.89265164521517,2.89265164521517,0.502408021969279
United States of America_368228,-110.485453039952,31.579077481548,protected_areas,-0.664401019901632,0.664401019901632,0.806729979922324
United States of America_368264,-83.0871955256415,34.9911198757171,protected_areas,-4.11564191145458,4.11564191145458,0.663600118582645
United States of America_368293,-116.762377968653,44.876024592692,protected_areas,9.02886065616184,9.02886065616184,0.296919940638722
United States of America_368345,-109.112749449268,33.94799360627,protected_areas,-29.4425597776478,29.4425597776478,0.345404381663011
United States of America_368418,-114.9123194349,38.491272025876,protected_areas,1.59891332381225,1.59891332381225,0.498678596917898
United States of America_368498,-116.011342495832,32.9732643326239,protected_areas,1.22748095045023,1.22748095045023,0.73442937343098
United States of America_368512,-109.982608191258,33.2177913226581,protected_areas,0.651245647762613,0.651245647762613,0.723565850902271
