unique_id,X,Y,og_layer,burned_area_coef,abs_burned_area_coef,burned_area_p_value
Argentina_10,-64.8033598140854,-23.6606277178741,protected_areas,0.00104448499785936,0.00104448499785936,0.0923597243617715
Chile_100,-71.0770685913368,-32.9626910166594,protected_areas,2.0518825574608e-08,2.0518825574608e-08,0.468584766567279
United States of America_1000,-112.182709737985,37.5838904220849,protected_areas,9.84921873866999e-05,9.84921873866999e-05,0.721294550371563
Malaysia_10000,101.3671406041,4.04262836618815,protected_areas,0,0,
Canada_100641,-67.2505609589869,47.0735290924411,protected_areas,0,0,
Vietnam_10110,107.782495060509,16.1371320337216,protected_areas,-0.000299061724030743,0.000299061724030743,0.383231036972725
Canada_101421,-124.370942599388,48.5719685445985,protected_areas,-6.4793955042549e-05,6.4793955042549e-05,0.0919826480285576
Albania_101424,19.9344772970116,42.4409031282474,protected_areas,-0.000170159068579251,0.000170159068579251,0.533001824253689
Albania_101425,20.418062177891,40.2888774300431,protected_areas,-3.66301868423461e-05,3.66301868423461e-05,0.328690974452686
Albania_101474,20.0338842544579,40.0802326460483,protected_areas,-0.000147163718637889,0.000147163718637889,0.865573270690087
Canada_101548,-65.873402352441,50.5106521892909,protected_areas,0.00896725600151996,0.00896725600151996,0.32868714375676
Canada_101597_A,-126.538852097127,49.6349092036472,protected_areas,0.000139139230292857,0.000139139230292857,0.374359628663038
Canada_101635_A,-127.052405630192,49.8372006564991,protected_areas,0,0,
Canada_101637,-123.926555067688,48.7816332308427,protected_areas,-1.86505802196191e-05,1.86505802196191e-05,0.210669705209335
Canada_101639,-121.871167207183,51.0351874684979,protected_areas,0.000615268315609279,0.000615268315609279,0.844924112203733
Canada_101642,-115.657095589865,49.0848483484663,protected_areas,5.9088281074715e-06,5.9088281074715e-06,0.673085860709125
Canada_101643,-118.268775561215,49.269461660919,protected_areas,0.00109633425741354,0.00109633425741354,0.129096407169603
Canada_101646_A,-123.510993288914,48.5411666863345,protected_areas,2.46910503234668e-05,2.46910503234668e-05,0.0919826654601834
Canada_101649,-122.852242967759,49.4306932047252,protected_areas,-8.94233046133505e-05,8.94233046133505e-05,0.007007112650533
Canada_101655,-120.993207208839,51.888216002134,protected_areas,3.63168104215308e-06,3.63168104215308e-06,0.0781670908102141
Canada_101656,-116.70501720326,49.4973192707161,protected_areas,0.00155205003827713,0.00155205003827713,0.14492304029995
Canada_101658,-121.827392093087,51.172235748426,protected_areas,-0.000593315118155418,0.000593315118155418,0.673085861644431
