unique_id,WDPA_PID,NAME,STATUS_YR,country,continent,max_species_body_mass,mean_species_body_mass,median_species_body_mass,herbivore_fg,predator_fg,trophic_groups,predator_fg_simple,herbivore_fg_simple,n_species_pa,n_herbi_sp_pa,n_carni_sp_pa,n_mixed_feeder_sp_pa,n_grazer_sp_pa,n_browser_sp_pa,grazer_browser_ratio,grazer_mixed_ratio,browser_mixed_ratio,n_native_sp_pa,n_introduced_sp_pa,percent_native_sp,percent_introduced_sp,intro_native_ratio,prop_species_w_occasional_predator,prop_species_w_regular_predator,elephant_yn,GIS_AREA
United States of America_366528,366528,Bull Run,1966,United States of America,North America,180.5204,83.7781857142857,55.5086,5,2,4,2,3,7,5,2,2,0,3,,0,1.5,7,0,1,0,0,1,0.4,no,1.55618327576992
United States of America_555608619,555608619,Papa Keal,1993,United States of America,North America,180.5204,78.5750111111111,55.5086,6,2,4,2,3,9,7,2,3,0,4,,0,1.33333333333333,9,0,1,0,0,1,0.571428571428571,no,1.55246709480952
United States of America_366529,366529,Bull Run Creek,1988,United States of America,North America,356.998,104.81289,64.00445,7,2,4,2,3,10,7,3,3,0,4,,0,1.33333333333333,10,0,1,0,0,1,1,no,1.54854344511355
United States of America_555608530,555608530,Osceola,1936,United States of America,North America,99.9494,54.716075,52.7543,4,1,2,1,2,4,3,1,0,1,2,0.5,,Inf,3,1,0.75,0.25,0.333333333333333,0,0,no,1.54832953563491
United States of America_11111386,11111386,Lowman,1971,United States of America,North America,356.998,96.8310454545455,55.5086,7,3,5,3,3,11,7,4,3,0,4,,0,1.33333333333333,11,0,1,0,0,1,1,no,1.54591289834495
United States of America_11115240,11115240,Mud Lake,1899,United States of America,North America,180.5204,74.2952666666667,52.9063,4,2,4,2,3,6,4,2,1,0,3,,0,3,6,0,1,0,0,1,0.5,no,1.53436659409381
United States of America_555610894,555610894,Turkey Ridge,1988,United States of America,North America,99.9494,56.2881,55.5086,3,1,2,1,2,3,2,1,0,0,2,,,Inf,3,0,1,0,0,0,0,no,1.52339278172384
United States of America_369162,369162,Grave Peak,1991,United States of America,North America,356.998,104.81289,64.00445,7,2,4,2,3,10,7,3,3,0,4,,0,1.33333333333333,10,0,1,0,0,1,1,no,1.51942946744528
United States of America_365195,365195,Allegheny Islands,1984,United States of America,North America,99.9494,56.2881,55.5086,3,1,2,1,2,3,2,1,0,0,2,,,Inf,3,0,1,0,0,0,0,no,1.50564673624548
United States of America_11115303,11115303,Scodie,1979,United States of America,North America,180.5204,83.4568,77.081,5,2,4,2,3,6,4,2,1,0,3,,0,3,5,1,0.833333333333333,0.166666666666667,0.2,1,0.25,no,1.5019149514789
United States of America_365538,365538,Bald Mountain,1991,United States of America,North America,356.998,102.070345454545,72.5003,7,2,4,2,3,11,8,3,4,0,4,,0,1,11,0,1,0,0,1,1,no,1.49899193514076
United States of America_369709,369709,Hideout Mesa,1998,United States of America,North America,180.5204,82.4316571428571,54.2126,5,2,4,2,3,7,5,2,2,0,3,,0,1.5,7,0,1,0,0,1,0.4,no,1.49509330058123
United States of America_555604486,555604486,Escalante Canyons Tract 1,1980,United States of America,North America,180.5204,82.4316571428571,54.2126,5,2,4,2,3,7,5,2,2,0,3,,0,1.5,7,0,1,0,0,1,0.4,no,1.47699114066543
United States of America_365688,365688,Bear Creek,1971,United States of America,North America,356.998,96.8310454545455,55.5086,7,3,5,3,3,11,7,4,3,0,4,,0,1.33333333333333,11,0,1,0,0,1,1,no,1.47529091731145
United States of America_371570,371570,Mathers,1991,United States of America,North America,101.0521,64.30328,55.5086,4,2,4,2,3,5,3,2,0,0,3,,,Inf,4,1,0.8,0.2,0.25,1,0.333333333333333,no,1.47339574505073
United States of America_555607579,555607579,Mccarthy Lake And Cedars,1989,United States of America,North America,356.998,111.60912,55.5086,4,1,3,1,3,5,3,2,0,0,3,,,Inf,5,0,1,0,0,1,1,no,1.45870356979449
United States of America_555674247,555674247,Dry Lake,2015,United States of America,North America,356.998,111.60912,55.5086,4,1,3,1,3,5,3,2,0,0,3,,,Inf,5,0,1,0,0,1,1,no,1.45133834367832
United States of America_555603917,555603917,Cross Timbers,1977,United States of America,North America,101.0521,58.23662,55.5086,5,1,4,1,3,5,4,1,0,0,4,,,Inf,4,1,0.8,0.2,0.25,0,0,no,1.44832838732864
United States of America_372075,372075,Mount Harrison,1996,United States of America,North America,180.5204,83.7781857142857,55.5086,5,2,4,2,3,7,5,2,2,0,3,,0,1.5,7,0,1,0,0,1,0.4,no,1.44817943395024
United States of America_11115223,11115223,Grass Lake,1992,United States of America,North America,180.5204,79.93774,54.2126,4,2,4,2,3,5,3,2,1,0,2,,0,2,5,0,1,0,0,1,0.333333333333333,no,1.44057855744515
United States of America_370841,370841,Lava Butte,1996,United States of America,North America,356.998,99.26412,54.8606,6,3,5,3,3,10,6,4,2,0,4,,0,2,10,0,1,0,0,1,1,no,1.4366541432523
United States of America_11111362,11111362,Beer Creek,1996,United States of America,North America,356.998,97.0260090909091,55.5086,7,3,5,3,3,11,7,4,3,0,4,,0,1.33333333333333,11,0,1,0,0,1,1,no,1.42559580123696
United States of America_555605323,555605323,Frog Meadows,1992,United States of America,North America,356.998,102.070345454545,72.5003,7,2,4,2,3,11,8,3,4,0,4,,0,1,11,0,1,0,0,1,1,no,1.42482143533637
United States of America_44444055,44444055,Frost,0,United States of America,North America,99.9494,55.769225,54.8606,3,1,2,1,2,4,3,1,0,0,3,,,Inf,4,0,1,0,0,0,0,no,1.41285847446295
United States of America_555556114,555556114,Henry's Lake,1992,United States of America,North America,356.998,102.17115,54.8606,6,2,4,2,3,10,7,3,2,0,5,,0,2.5,10,0,1,0,0,1,1,no,1.40683325128972
United States of America_11111470,11111470,Barktable Ridge,1997,United States of America,North America,356.998,105.02735,65.07675,7,2,4,2,3,10,7,3,3,0,4,,0,1.33333333333333,10,0,1,0,0,1,1,no,1.39971625043818
United States of America_555610719,555610719,Thurmon Creek,2010,United States of America,North America,356.998,102.17115,54.8606,6,2,4,2,3,10,7,3,2,0,5,,0,2.5,10,0,1,0,0,1,1,no,1.38932742457673
United States of America_76522,76522,Goshute Canyon,1992,United States of America,North America,131.25,59.31036,51.6,3,2,4,2,3,5,3,2,1,0,2,,0,2,5,0,1,0,0,1,0.666666666666667,no,1.38875985518263
United States of America_555662149,555662149,Harvey Mountain,0,United States of America,North America,99.9494,56.2881,55.5086,3,1,2,1,2,3,2,1,0,0,2,,,Inf,3,0,1,0,0,0,0,no,1.38783161382753
