reserve_name,area_ha,PaAge,MeanBodyMassCwm,MaxBodyMass,HerbivoreSpeciesRichness,HerbivoreFunDiv,HerbivoreBiomassKgKm2,GrazerBiomassKgKm2,BrowserBiomassKgKm2,MixedFeederBiomassKgKm2,ElephantBiomassKgKm2,Elevation,MMP,MAT,MaxTemp,MinTemp,BurnedAreaMean,FireFrequencyMean,EVI,NPP,EviSD,EviTrend,NppTrend,FireFreqTrend,BurnedAreaTrend,SOSTrend,EviSDTrend,AbsMeanTempDiff,RelMeanTempDiff,AbsMaxTempDiff,RelMaxTempDiff,AbsMinTempDiff,RelMinTempDiff,AbsPrecDiff,RelPrecDiff,SlopeMeanTemp,SlopeMaxTemp,SlopeMinTemp,SlopePrec,NitrogenDepo,HumanModification,SpeciesLoss,BodyMassLoss,Biome,LandCover,Longitude,Latitude,ClimaticRegion
reserve_173,2927.17670480653,39,4.03123222558114,213.501,12,1.82770496434415,2760.80926092712,57.8799990864228,94.6987995445671,2608.23046229613,0,772.33447265625,40.1386413574219,17.6638965606689,32.772045135498,4.056725025177,6.34009993518703e-05,0,1606.23266601563,3424.81518554688,237.729598999023,-5.22735929489136,-7.78087902069092,0,-1.23680083561339e-05,1.38102006912231,-1.95978772640228,1.52714693546295,1.09454739093781,4.08420372009277,1.14228057861328,1.93325960636139,1.91479408740997,7.36995363235474,1.22597706317902,0.0244975704699755,0.0930760353803635,0.00614080531522632,-0.179231479763985,217.168685913086,0.0997847244143486,0.30960613489151,-0.785289347171783,Tropical & Subtropical Moist Broadleaf Forests,HerbacousVeg,25.2750063328692,-32.6815169152769,Arid
reserve_174,383.656003035174,,6.7901167666666,82.5,8,3.96633267957969,123.548255794278,43.7891884059997,29.6164139492385,50.1426534390401,0,428.481018066406,50.1953887939453,16.3573417663574,27.0045547485352,6.7942967414856,5.05933904647827,0.290347278118134,2286.85034179688,6672.41943359375,277.540008544922,-0.507427632808685,4.75574254989624,0,-0.42231422662735,6.0075273513794,-0.138282999396324,-0.109274871647358,0.993349969387054,-1.01166415214539,0.963897705078125,3.11834311485291,1.84916174411774,-6.82547378540039,0.880416035652161,0.00616766139864922,0.00311603862792254,0.02702422067523,0.265470027923584,179.96614074707,0.190439343452454,0.561501681804657,-0.687492728233337,"Mediterranean Forests, Woodlands & Scrub",HerbacousVeg,24.4235646606366,-33.8882024970139,Temperate
reserve_175,5836.57341727102,33,5.65902463728596,213.501,11,1.7628806147528,3081.7062588086,6.61775278722695,345.550004396758,2729.53850162462,0,734.639587402344,27.4628067016602,17.9817790985107,32.6173324584961,3.935222864151,0,0,1166.13427734375,2257.58422851563,70.9707870483399,-1.31154954433441,1.57662308216095,0,0,,-0.426574468612671,1.55158162117004,1.09441936016083,3.47759079933167,1.11931800842285,1.61106717586517,1.69422721862793,-1.83513009548187,0.938613176345825,0.0188845731317997,0.0727020874619484,0.00753683317452669,-0.348448902368546,217.020736694336,0.100596062839031,0.470929056406021,-0.734422564506531,"Mediterranean Forests, Woodlands & Scrub",HerbacousVeg,25.0428417965328,-32.6883612653821,Arid
reserve_176,7076.37056506715,12,31.8188157736462,569.9936,11,2.73515758306186,33.7035995793328,2.37409627513488,7.67344212696481,23.6560611772331,0,846.880676269531,42.5379486083984,17.9831829071045,33.9530220031738,4.43532228469849,0.0195246189832687,0,1575.2685546875,3272.53051757813,191.143661499023,0.098330557346344,-3.22922778129578,0,0.000990640488453209,10.8315410614014,0.123389273881912,1.94506669044495,1.12117576599121,5.24454307556152,1.18259561061859,2.26059818267822,2.04896569252014,13.7739133834839,1.4813107252121,0.0388758033514023,0.116506397724152,0.00727513479068875,-0.299300134181976,217.168685913086,0.127116218209267,0.346405863761902,-0.773685991764069,Montane Grasslands & Shrublands,HerbacousVeg,25.1322814581761,-32.483327057246,Arid
reserve_177,1935.85570665625,16,7.50428132097483,97.5,8,1.02086934070375,6223.95307334728,6.39252189997932,13.4630617924603,6204.09748965484,0,502.8955078125,55.0862007141113,15.8916807174683,26.0691432952881,6.52046489715576,5.69624090194702,0.377958565950394,2265.40991210938,6597.009765625,230.591781616211,-1.94083452224731,2.00175094604492,0.00336060649715364,0.00123061949852854,0.665834784507752,-1.26112127304077,-0.159897685050964,0.989871382713318,-1.86121869087219,0.933216989040375,3.44957590103149,2.14599943161011,-7.28878021240234,0.88435971736908,0.00956842489540577,0.000260884582530707,0.0276689026504755,-0.131004080176353,179.966125488281,0.169824942946434,0.532896220684052,-0.68878048658371,"Mediterranean Forests, Woodlands & Scrub",HerbacousVeg,24.2455989600108,-33.8848462868013,Temperate
Addo-Elephant National Park,137741.624773986,92,139.037746785884,4400,21,2.63126716006587,3316.33160099235,386.56430928101,484.61093253059,2445.15635918075,2079.54567451928,330.6123046875,31.196704864502,18.0794506072998,31.4003448486328,6.07576036453247,1.38426756858826,0.522793412208557,2611.48828125,7725.669921875,310.866546630859,-8.80246925354004,-33.6453819274902,-0.00720902346074581,-0.0438022948801518,0.16993910074234,-1.85662043094635,0.482258200645447,1.02731692790985,2.57108926773071,1.08770608901978,1.76779973506928,1.39968407154083,-9.75100708007812,0.767876923084259,0.00276010925881565,0.038703165948391,0.0159055013209581,-0.570307910442352,188.798370361328,0.088102750480175,0.0812354534864426,-0.794563114643097,"Mediterranean Forests, Woodlands & Scrub",HerbacousVeg,25.5860116445008,-33.3831161406087,Arid
reserve_138,30000,35,6.99679070440314,580.0027,22,2.76871141047857,6311.624035,2019.75941666667,767.470341333333,3524.394277,0,1462.10180664063,36.4779968261719,14.7518873214722,30.5125846862793,0.166144236922264,0.385576874017715,0.313242733478546,1379.80944824219,2788.84204101563,115.981712341309,1.43662929534912,12.870810508728,0,-0.00479907169938088,-0.957132041454315,-0.282278060913086,1.07364177703857,1.07674634456635,4.10637331008911,1.15462195873261,-0.0230402126908302,1.35875391960144,8.37698173522949,1.30874752998352,0.0495273731648922,0.152700170874596,0.0269004516303539,-0.218345835804939,237.67839050293,0.117754198610783,0.569127082824707,-0.715793311595917,Deserts & Xeric Shrublands,HerbacousVeg,25.0276373599122,-32.0151520496008,Arid
Agulhas National Park,21032.3648239608,25,5.18604884530849,171.0015,8,2.02457113009492,18.3811646115787,0.813039814739183,14.2125891454419,3.35553565139754,0,78.9806976318359,34.2775840759277,17.374439239502,26.0916900634766,9.0519437789917,3.90278816223145,0.272651791572571,2271.49169921875,8080.9482421875,249.604446411133,-0.202862128615379,18.83424949646,0,-0.257542371749878,-0.0828051865100861,-2.09576392173767,1.20089972019196,1.07416653633118,1.41617250442505,1.0573548078537,0.379431694746017,1.04412662982941,-12.3000974655151,0.733315527439117,0.0267779063433409,0.0361547097563744,-0.00077227404108271,-0.260499566793442,103.658264160156,0.107016772031784,0.571382403373718,-0.619013428688049,"Mediterranean Forests, Woodlands & Scrub",Shrubs,19.7985394516052,-34.7199688672724,Arid
reserve_148,4500,24,146.948554564705,4400,9,3.14473854258979,2042.88010444445,1308.3287,107.44432,627.107084444445,195.555555555556,980.140930175781,18.9392032623291,15.3609046936035,30.6311168670654,2.53401803970337,0.874908864498138,0,1120.32409667969,2355.85864257813,95.5075531005859,2.03579354286194,1.79916191101074,0,-0.0393997766077518,,0.696904957294464,1.9160076379776,1.14209830760956,2.33519244194031,1.08240127563477,3.1566162109375,-2.67321920394897,-7.45971536636353,0.717445552349091,0.0351984389126301,0.0220766589045525,0.00184601685032249,-0.0430503636598587,130.378295898438,0.0909193083643913,0.571382403373718,-0.671712577342987,Deserts & Xeric Shrublands,HerbacousVeg,19.9015676415946,-33.3638116149411,Arid
Augrabies Falls National Park,49353.7407102078,57,28.7034127203468,899.9948,12,2.55464480627832,1148.84257351283,185.688794164786,382.275110224782,580.878669123261,0,607.207153320313,11.5786228179932,21.9965648651123,38.3315467834473,3.65587639808655,0.000523623370099813,0.173913046717644,944.80126953125,847.520263671875,97.5135803222656,-0.242977261543274,-1.52432978153229,0,0.000119005293527152,4.0499415397644,-0.117103293538094,1.42930698394775,1.06943511962891,6.91037034988403,1.2198441028595,-2.47036290168762,0.596967697143555,2.13886642456055,1.22905433177948,0.0568513572216034,0.0696298852562904,0.0227155834436417,-0.00106468319427222,139.423675537109,0.0800617560744286,0.175849854946136,-0.856625378131867,Deserts & Xeric Shrublands,Bare,20.1592684620132,-28.5317203590462,Arid
