control_for,Continent,functional_biome,control_within_dist,unique_id,nitrogen_depo,functional_biome_num,olson_biome_num,climatic_region_num,elevation,MaxTemp,BurnedAreaMean,human_modification,MAT,MAP,EVI,climatic_region,olson_biome,land_cover
Algeria_101170,Africa,SLD,100k,Algeria_101170_control,251.037948608398,7,12,7,1227.08740234375,35.8530426025391,0,0.199497804045677,15.720630645752,25.8344821929932,1125.88000488281,Arid,"Mediterranean Forests, Woodlands & Scrub",Bare
Chile_101,South America,SLD,100k,Chile_101_control,119.782836914063,7,12,5,305.027923583984,26.0885276794434,0,0.262123942375183,15.3394565582275,13.1219320297241,1267.52673339844,Arid,"Mediterranean Forests, Woodlands & Scrub",Shrubs
Chile_100,South America,SMD,100k,Chile_100_control,284.294067382813,8,12,9,196.254409790039,20.6298885345459,0.00778131792321801,0.457346737384796,13.1636142730713,43.2400207519531,2559.80932617188,Temperate,"Mediterranean Forests, Woodlands & Scrub",Shrubs
Canada_100641,North America,TMC,100k,Canada_100641_control,341.885772705078,5,4,26,282.90771484375,26.3408145904541,0,0.0137721905484796,4.11563110351563,104.65754699707,3321.51025390625,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestMixed
Canada_100206,North America,SLB,100k,Canada_100206_control,142.578796386719,13,6,27,101.243911743164,22.5246353149414,0.00553261348977685,0,-5.71636629104614,38.2741050720215,1126.42565917969,Cold,Boreal Forests/Taiga,Shrubs
Canada_101421,North America,TMN,100k,Canada_101421_control,367.839172363281,23,5,15,144.413467407227,18.042163848877,0.000748901802580804,0.0543160252273083,9.74845409393311,257.994293212891,4400.8662109375,Temperate,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Albania_101474,Europe,TMN,100k,Albania_101474_control,792.469665527344,23,12,15,1228.13024902344,28.2843208312988,0.00111691723577678,0.260007858276367,10.9809274673462,125.204574584961,2367.02416992188,Temperate,"Mediterranean Forests, Woodlands & Scrub",Shrubs
Mexico_101414,North America,SHD,100k,Mexico_101414_control,313.063140869141,9,2,3,158.856002807617,32.7227172851563,0.00652948301285505,0.513025224208832,25.308687210083,100.501419067383,4043.24267578125,Tropical,Tropical & Subtropical Dry Broadleaf Forests,OpenForestOther
United States of America_1000,North America,TMC,100k,United States of America_1000_control,283.881225585938,5,13,7,2080.47241210938,29.4411125183106,0.000375717412680388,0.0492729917168617,8.21005439758301,29.1381130218506,1541.21203613281,Arid,Deserts & Xeric Shrublands,OpenForestOther
Vietnam_10113,Asia,THD,100k,Vietnam_10113_control,2081.11865234375,12,1,11,245.173095703125,32.1666145324707,0.000843549845740199,0.264158517122269,23.2789249420166,214.731002807617,3698.14404296875,Temperate,Tropical & Subtropical Moist Broadleaf Forests,ClosedForestEvergreenBroad
Venezuela_101136,South America,THD,100k,Venezuela_101136_control,739.115844726563,12,2,2,126.480361938477,34.7801666259766,0.067711815237999,0.180049255490303,26.7675094604492,160.999755859375,3775.51806640625,Tropical,Tropical & Subtropical Dry Broadleaf Forests,HerbacousVeg
Canada_101546,North America,TMC,100k,Canada_101546_control,793.839172363281,5,4,26,516.549377441406,24.4160308837891,0,0.03107900172472,2.83837461471558,128.506790161133,2919.4658203125,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestMixed
Malaysia_10000,Asia,THN,100k,Malaysia_10000_control,1457.56579589844,24,1,1,15.045599937439,32.762825012207,0.00214613415300846,0.181551575660706,27.7932052612305,191.081771850586,5094.3271484375,Tropical,Tropical & Subtropical Moist Broadleaf Forests,ClosedForestEvergreenBroad
Canada_101637,North America,TMN,100k,Canada_101637_control,367.839172363281,23,5,15,216.85221862793,21.0337181091309,0.000634035037364811,0.0449022054672241,9.52486705780029,258.498748779297,4451.87548828125,Temperate,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Mexico_101571,North America,TMD,100k,Mexico_101571_control,1185.140625,11,13,7,2411.11962890625,27.9780139923096,0.000295785808702931,0.502851963043213,15.2552785873413,35.5541839599609,1967.19836425781,Arid,Deserts & Xeric Shrublands,Shrubs
China_100024,Asia,THD,100k,China_100024_control,1966.65490722656,12,1,14,203.561538696289,33.5056419372559,0.00166026933584362,0.557978689670563,21.0205326080322,135.298492431641,3822.80981445313,Temperate,Tropical & Subtropical Moist Broadleaf Forests,ClosedForestEvergreenBroad
Burundi_101434,Africa,THD,100k,Burundi_101434_control,454.214172363281,12,7,3,1185.60546875,32.8187141418457,0.0335839614272118,0.261051326990128,22.7920627593994,62.8006591796875,3566.36254882813,Tropical,"Tropical & Subtropical Grasslands, Savannas & Shrublands",HerbacousVeg
Canada_101642,North America,TMC,100k,Canada_101642_control,243.646362304688,5,5,26,1474.97778320313,26.6150856018066,9.65703511610627e-05,0.0235551781952381,3.35596203804016,96.0137252807617,2146.58642578125,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Albania_101424,Europe,TMC,100k,Albania_101424_control,936.421813964844,5,4,26,1571.64123535156,24.0380783081055,2.59082844422665e-05,0.283060044050217,6.09870004653931,138.278793334961,2865.69067382813,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestEvergreenNeedle
Canada_101646_A,North America,TMN,100k,Canada_101646_A_control,367.839172363281,23,5,9,467.625274658203,21.3633289337158,0.000530191988218576,0.0450369939208031,8.08567237854004,275.894927978516,3901.89233398438,Temperate,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101597_A,North America,TMN,100k,Canada_101597_A_control,301.405151367188,23,5,15,199.518203735352,18.9017086029053,0.00612807180732489,0.0086264768615365,8.73526382446289,313.351287841797,2975.0810546875,Temperate,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Kazakhstan_100017,Asia,SLB,500k,Kazakhstan_100017_control,228.022018432617,13,13,5,372.195526123047,35.1228828430176,0,0.092660203576088,9.5068416595459,16.0819416046143,712.150390625,Arid,Deserts & Xeric Shrublands,HerbacousVeg
Vietnam_10110,Asia,THN,500k,Vietnam_10110_control,978.861633300781,24,1,2,154.451690673828,32.3773880004883,0.000237319414736703,0.281441867351532,24.260534286499,218.437286376953,4875.373046875,Tropical,Tropical & Subtropical Moist Broadleaf Forests,ClosedForestEvergreenBroad
Canada_101641,North America,TMN,500k,Canada_101641_control,292.102905273438,23,5,26,857.288391113281,24.9159355163574,0.000369802699424326,0.0727669075131416,6.02772426605225,196.179840087891,3586.41528320313,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_100285,North America,TMC,500k,Canada_100285_control,153.345703125,5,5,27,866.842651367188,24.229866027832,0.000288545095827431,0.111140921711922,1.24671638011932,43.7653312683106,2425.16870117188,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_100204,North America,SMB,500k,Canada_100204_control,208.715972900391,14,6,19,186.239242553711,23.4091129302979,0.00384108023717999,0,-3.56059646606445,47.6783599853516,1455.32653808594,Cold,Boreal Forests/Taiga,Shrubs
Canada_101655,North America,TMC,100k,Canada_101655_control,223.905242919922,5,5,26,1157.43212890625,25.1661014556885,0.00129880546592176,0.0347175076603889,4.31753540039063,64.2586135864258,2291.7216796875,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101659_A,North America,TMN,100k,Canada_101659_A_control,293.118011474609,23,5,15,126.35684967041,20.8227691650391,0,0.000163593736942858,8.65922451019287,201.684707641602,3019.89575195313,Temperate,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Mexico_101411,North America,SLD,1000k,Mexico_101411_control,266.410766601563,7,13,4,1382.46325683594,37.1237182617188,2.40713670791592e-05,0.118172250688076,21.2858104705811,29.9093894958496,1441.25695800781,Arid,Deserts & Xeric Shrublands,Shrubs
Canada_101647,North America,TMB,500k,Canada_101647_control,386.428100585938,17,5,26,942.711547851563,24.8413276672363,0.00119100348092616,0.205741912126541,3.06475591659546,50.6777496337891,2447.673828125,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101639,North America,TMN,500k,Canada_101639_control,202.904693603516,23,5,27,1026.46032714844,22.5825595855713,0.00311153056100011,0.0296955462545157,3.22078490257263,36.9461975097656,2285.35717773438,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101663,North America,TMN,100k,Canada_101663_control,270.139099121094,23,5,15,186.824005126953,20.1669654846191,0,0.000163593736942858,8.31394672393799,221.740692138672,3166.19897460938,Temperate,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101656,North America,TMB,100k,Canada_101656_control,254.233383178711,17,5,27,1948.51293945313,23.2707996368408,0.00848545599728823,0.0528987012803555,1.09609031677246,108.11083984375,1410.64709472656,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101653,North America,TMC,100k,Canada_101653_control,246.318817138672,5,5,27,1837.66455078125,24.1438312530518,0.00224089669063687,0.0212378930300474,1.38542914390564,86.1598892211914,1706.57861328125,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101679_A,North America,TMN,100k,Canada_101679_A_control,353.125,23,5,15,223.279403686523,21.5874862670898,0.000178728208993562,0.0633389428257942,9.53672122955322,270.399810791016,4471.36865234375,Temperate,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101638,North America,TLB,1000k,Canada_101638_control,102.353057861328,16,6,27,601.98974609375,24.3285427093506,0.0344792008399963,0.001128064468503,-1.14683759212494,37.0583686828613,1215.48559570313,Cold,Boreal Forests/Taiga,OpenForestOther
Canada_101643,North America,TMB,500k,Canada_101643_control,369.678619384766,17,5,26,888.622802734375,25.289436340332,0.000464237615233287,0.219304531812668,3.28983283042908,48.5610313415527,2466.58813476563,Cold,Temperate Conifer Forests,ClosedForestDeciduousBroad
Canada_101688_A,North America,TMN,100k,Canada_101688_A_control,292.601501464844,23,5,15,55.2610092163086,22.117431640625,0,0.0140441423282027,9.61908912658691,251.114791870117,3931.7490234375,Temperate,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101684,North America,TMB,100k,Canada_101684_control,192.396835327148,17,5,26,855.182495117188,26.2998657226563,0.0148668773472309,0.0266470666974783,4.92926979064941,64.2516555786133,2422.44140625,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101699,North America,TMN,100k,Canada_101699_control,301.405151367188,23,5,15,13.2813987731934,25.3109912872315,0,0.000284208130324259,10.3453302383423,236.031295776367,896.731994628906,Temperate,Temperate Conifer Forests,Water
Canada_101701,North America,TMN,100k,Canada_101701_control,339.815673828125,23,5,15,141.334243774414,21.3330383300781,0.000387827050872147,0.126349613070488,10.1405582427979,263.22705078125,4627.47802734375,Temperate,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101658,North America,TMN,500k,Canada_101658_control,227.252792358398,23,5,27,1156.609375,23.7383861541748,0.00189250602852553,0.0862187296152115,1.91202175617218,52.586784362793,2092.95288085938,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101708,North America,TMN,100k,Canada_101708_control,373.048614501953,23,5,15,15.1090202331543,22.8206386566162,0,0.0234248135238886,10.4859609603882,257.466186523438,3711.97705078125,Temperate,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Argentina_10,South America,THN,over_1000k,Argentina_10_control,520.591918945313,24,7,14,176.971206665039,29.308235168457,0.000251986813964322,0.191902086138725,16.1815013885498,104.688278198242,4049.05053710938,Temperate,"Tropical & Subtropical Grasslands, Savannas & Shrublands",HerbacousVeg
Canada_101722,North America,TMC,100k,Canada_101722_control,284.210784912109,5,5,27,1532.3330078125,24.1324825286865,0.000512883590999991,0.0610096380114555,2.86612868309021,48.6213607788086,1976.83654785156,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Morocco_101232,Africa,SLD,over_1000k,Morocco_101232_control,407.890625,7,7,6,754.524108886719,39.4524536132813,0.0932737439870834,0.289057999849319,26.6327896118164,74.4645919799805,2094.60278320313,Arid,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Shrubs
Canada_101672,North America,TMN,500k,Canada_101672_control,253.638198852539,23,5,26,1187.81396484375,24.5664405822754,0.0125536294654012,0.0396075285971165,4.29719161987305,37.1600456237793,2150.099609375,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101724,North America,TMC,100k,Canada_101724_control,281.472106933594,5,5,27,1479.38818359375,24.5607566833496,0,0.0521720163524151,3.23757028579712,48.4218101501465,2016.05017089844,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101726,North America,TMC,100k,Canada_101726_control,284.226684570313,5,5,27,1732.61193847656,23.0170402526856,0.0045570177026093,0.0932579636573792,1.61392557621002,43.3614768981934,1954.61682128906,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101671,North America,TLN,500k,Canada_101671_control,202.904693603516,22,5,27,1132.46264648438,22.1374645233154,0.00371808419004083,0.0281980056315661,2.95079946517944,37.0007743835449,2129.70654296875,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101675,North America,TMB,500k,Canada_101675_control,202.388107299805,17,5,27,930.823791503906,24.0640201568604,0.000354202173184603,0.0692242383956909,2.48056054115295,51.1309432983398,2746.07250976563,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101728,North America,TMC,100k,Canada_101728_control,284.498352050781,5,5,7,670.496215820313,29.8174343109131,0.00122876942623407,0.0910810828208923,8.30692386627197,32.8914794921875,2152.72729492188,Arid,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101731,North America,TLC,100k,Canada_101731_control,281.472106933594,4,5,27,1500.52917480469,24.5527458190918,0.0135611556470394,0.0584474317729473,2.9704442024231,39.8905601501465,2138.44921875,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101734,North America,TMN,100k,Canada_101734_control,452.727020263672,23,5,9,543.066589355469,24.9008922576904,0.00218678894452751,0.0177025366574526,8.17400741577148,196.224243164063,4108.80126953125,Temperate,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101729,North America,TLC,100k,Canada_101729_control,272.981750488281,4,5,27,1464.24816894531,25.1757221221924,0.00742451334372163,0.0540705621242523,3.18714284896851,50.9171295166016,2403.53466796875,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101739,North America,TLC,100k,Canada_101739_control,272.981750488281,4,5,26,1418.2060546875,23.6086711883545,0.0116310957819223,0.104780130088329,3.91740012168884,60.1887474060059,2480.35327148438,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101736,North America,TMC,100k,Canada_101736_control,284.498352050781,5,5,26,1165.42395019531,26.3297290802002,0.0324734598398209,0.0528478249907494,5.13146018981934,37.6488304138184,2366.59790039063,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101742,North America,TLC,100k,Canada_101742_control,277.803375244141,4,5,26,1146.26965332031,27.2357044219971,0.024754885584116,0.0685374736785889,5.58746194839478,38.0807571411133,2474.53369140625,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101740,North America,TMB,100k,Canada_101740_control,205.638488769531,17,5,27,1253.97619628906,23.4873218536377,0,0.0286311600357294,3.10256814956665,99.560676574707,2664.82788085938,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101590,North America,SLB,over_1000k,Canada_101590_control,52.2689781188965,13,11,27,421.360687255859,19.5556316375732,4.42196724179667e-05,2.32359016081318e-05,-10.2482576370239,33.5108184814453,617.654846191406,Cold,Tundra,HerbacousVeg
Saudi Arabia_101910,Asia,SLN,100k,Saudi Arabia_101910_control,198.07666015625,19,13,4,751.170837402344,43.5120086669922,0,0.169648230075836,27.4612255096436,8.86672687530518,674.923583984375,Arid,Deserts & Xeric Shrublands,Bare
Finland_101951,Europe,TMC,100k,Finland_101951_control,398.10009765625,5,6,27,120.244148254395,25.1016349792481,0,0.222846329212189,4.57032203674316,58.322265625,2451.98999023438,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Canada_101725,North America,TLN,500k,Canada_101725_control,201.675231933594,22,5,27,1304.73083496094,21.948278427124,0.00136311945971102,0.0231988448649645,2.30311894416809,45.7125778198242,1912.15185546875,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Canada_101649,North America,TMC,1000k,Canada_101649_control,263.951477050781,5,5,18,1182.70349121094,29.3434219360352,0.00515816686674953,0.0211526863276958,6.70824003219605,119.755142211914,2643.66796875,Cold,Temperate Conifer Forests,ClosedForestEvergreenNeedle
Finland_101969,Europe,TMB,100k,Finland_101969_control,192.886184692383,17,6,27,194.622482299805,22.6245079040527,0,0.0278844591230154,1.76022148132324,66.8778228759766,1823.25842285156,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_101966,Europe,TMC,100k,Finland_101966_control,306.444885253906,5,6,27,166.597854614258,24.5467777252197,0,0.224476113915443,4.26712608337402,57.6352233886719,2408.65966796875,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_101971,Europe,TMC,100k,Finland_101971_control,435.212371826172,5,6,26,109.495834350586,24.9915561676025,2.2944221200305e-05,0.437782049179077,4.90506935119629,60.3055648803711,2432.63720703125,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Russia_101968,Europe,TMC,100k,Russia_101968_control,333.040466308594,5,6,27,156.969863891602,25.0339546203613,0,0.0483485981822014,3.36780095100403,62.9410095214844,2054.60986328125,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_101982,Europe,SLB,100k,Finland_101982_control,180.213882446289,13,11,29,962.817749023437,15.5295791625977,0,0.269174098968506,-2.48900866508484,87.1966705322266,142.273941040039,Polar,Tundra,HerbacousVeg
Finland_101973,Europe,TMB,100k,Finland_101973_control,309.304351806641,17,6,27,294.332305908203,22.1992702484131,0,0.11656903475523,1.18284726142883,71.6355590820313,1999.52429199219,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_101974,Europe,TMB,100k,Finland_101974_control,410.149536132812,17,6,27,212.333053588867,23.4949493408203,4.78008259960916e-05,0.0151309100911021,0.802873432636261,63.6954803466797,2024.19274902344,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_101978,Europe,TMB,100k,Finland_101978_control,214.560546875,17,6,27,297.990814208984,22.9493808746338,0,0.02962277084589,0.17753005027771,60.2184982299805,1994.31652832031,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102004,Europe,TMB,100k,Finland_102004_control,209.198272705078,17,6,27,165.031997680664,24.0183715820313,0,0.0686043873429298,1.21950662136078,64.5621032714844,2196.89916992188,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Canada_101665,North America,TLB,1000k,Canada_101665_control,71.6130905151367,16,6,27,179.014801025391,26.1851539611816,0.0176520142704248,0.000388197600841522,-1.57323551177979,30.6290168762207,1404.69836425781,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102003,Europe,TMB,100k,Finland_102003_control,298.590057373047,17,6,27,137.443801879883,24.757682800293,0,0.26465579867363,1.70510542392731,62.7363891601563,2123.10546875,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Russia_102007,Europe,TMB,100k,Russia_102007_control,265.826354980469,17,6,27,181.884307861328,24.1632385253906,0,0.0756222903728485,2.76990270614624,62.9902725219727,2294.7998046875,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102008,Europe,TMB,100k,Finland_102008_control,311.340789794922,17,6,27,159.808807373047,24.2546520233154,0,0.303691416978836,1.93728077411652,69.7419357299805,2181.50024414063,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_101965,Europe,TMC,100k,Finland_101965_control,498.995239257813,5,6,26,110.871726989746,25.8127727508545,0,0.451099514961243,5.39843797683716,51.5689582824707,2461.82299804688,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102009,Europe,TMB,100k,Finland_102009_control,290.076477050781,17,6,27,146.616149902344,23.7898941040039,0,0.103268556296825,2.82530283927918,68.2863082885742,2416.69970703125,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102010,Europe,TMB,100k,Finland_102010_control,290.108673095703,17,6,27,166.376510620117,24.1237888336182,0,0.0685173124074936,2.67910051345825,72.0031127929688,2104.97412109375,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102011,Europe,TMB,100k,Finland_102011_control,361.30322265625,17,6,27,154.405822753906,24.8419532775879,0,0.114335291087627,1.61186099052429,66.1107864379883,2160.05126953125,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102012,Europe,TMB,100k,Finland_102012_control,282.939758300781,17,6,27,169.389343261719,24.0193901062012,0,0.278157770633698,2.68895506858826,70.2614669799805,1987.330078125,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102018,Europe,TMB,100k,Finland_102018_control,282.939758300781,17,6,27,180.650054931641,22.4610996246338,0,0.319285660982132,2.77327942848206,66.6117553710938,2534.10986328125,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102017,Europe,TMB,100k,Finland_102017_control,271.464935302734,17,6,27,101.067626953125,24.395040512085,0,0.107061833143234,2.96374797821045,68.2406463623047,2431.13916015625,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102016,Europe,TMB,100k,Finland_102016_control,438.070037841797,17,6,27,213.643478393555,23.404125213623,0,0.0450229607522488,0.806018888950348,60.769157409668,2067.1640625,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102021,Europe,TMB,100k,Finland_102021_control,282.939758300781,17,6,27,177.889068603516,23.8154125213623,0,0.0809515863656998,2.52592182159424,69.0227584838867,2293.81372070313,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102013,Europe,TMC,100k,Finland_102013_control,334.069763183594,5,6,27,144.122894287109,24.3299903869629,0,0.264374196529388,3.28389596939087,66.1410140991211,2482.37036132813,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102020,Europe,TMB,100k,Finland_102020_control,239.050003051758,17,6,27,262.300323486328,22.9780597686768,0,0.0660565197467804,1.91344213485718,76.0215377807617,2069.99975585938,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102015,Europe,TMB,100k,Finland_102015_control,311.340789794922,17,6,27,145.668960571289,24.5219402313232,0,0.0581602044403553,2.17251992225647,67.7678451538086,2343.09375,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Canada_101644,North America,TMC,over_1000k,Canada_101644_control,118.842597961426,5,6,26,220.887359619141,23.0098400115967,2.30367663789366e-06,0,1.2382355928421,98.544548034668,2008.38122558594,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102027,Europe,TMB,100k,Finland_102027_control,281.176116943359,17,6,27,51.0623397827149,24.5834140777588,0.000158146416652016,0.337658911943436,3.32059383392334,59.9301643371582,2650.86401367188,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102036,Europe,TMB,100k,Finland_102036_control,242.017333984375,17,6,27,224.698883056641,23.5313549041748,0,0.0278568472713232,2.32188415527344,65.1749114990234,2024.48010253906,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102033,Europe,TMB,100k,Finland_102033_control,234.724639892578,17,6,27,132.381958007813,24.7293682098389,0,0.0609492436051369,1.85204434394836,66.8273849487305,2288.11450195313,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102025,Europe,TMC,100k,Finland_102025_control,333.040466308594,5,6,27,187.315063476563,24.9017677307129,0,0.0407705903053284,3.28251528739929,62.5023918151856,1941.02197265625,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102034,Europe,TMB,100k,Finland_102034_control,311.340789794922,17,6,27,141.680252075195,24.578462600708,0,0.0781712308526039,2.22530627250671,67.4502029418945,2328.92700195313,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102032,Europe,TMB,100k,Finland_102032_control,301.867858886719,17,6,27,170.963272094727,23.5762825012207,0,0.118749238550663,2.9346444606781,68.3492202758789,2343.18359375,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102029,Europe,TMC,100k,Finland_102029_control,315.722808837891,5,6,27,58.9088935852051,25.2744541168213,0,0.50739860534668,4.3153862953186,57.9265327453613,2701.24877929688,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102028,Europe,TMC,100k,Finland_102028_control,294.280487060547,5,6,27,222.768325805664,24.6237277984619,0,0.0259502399712801,2.79007911682129,68.1770248413086,2095.64501953125,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102031,Europe,TMC,100k,Finland_102031_control,388.3779296875,5,6,27,137.479522705078,24.4615230560303,0,0.201506480574608,4.68069696426392,54.3402786254883,2367.82763671875,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102040,Europe,TMB,100k,Finland_102040_control,238.440155029297,17,6,27,184.997619628906,23.756591796875,0,0.0709911063313484,2.07813739776611,73.9749298095703,2091.59912109375,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102062,Europe,TMB,100k,Finland_102062_control,311.340789794922,17,6,27,95.9592819213867,25.1081638336182,0,0.135052144527435,2.57257080078125,68.4220428466797,2346.77392578125,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102037,Europe,TMC,100k,Finland_102037_control,251.33283996582,5,6,27,33.3366470336914,25.8071823120117,0,0.43644779920578,4.07212162017822,58.1526794433594,2661.431640625,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102039,Europe,TMC,100k,Finland_102039_control,323.758850097656,5,6,27,139.713500976563,24.8305473327637,0,0.303438991308212,4.30741024017334,55.2586898803711,2501.63842773438,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102056,Europe,TMB,100k,Finland_102056_control,217.785339355469,17,6,27,152.016891479492,24.3115634918213,0,0.0970642864704132,1.57935690879822,61.2119445800781,1515.36047363281,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102050,Europe,TMB,100k,Finland_102050_control,234.724639892578,17,6,27,210.466461181641,23.8236465454102,0,0.06150221824646,1.06096339225769,68.4742202758789,2121.67553710938,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102058,Europe,TMB,100k,Finland_102058_control,281.176116943359,17,6,27,72.1128997802734,25.0707187652588,0,0.232579365372658,3.4437837600708,56.833984375,2673.06005859375,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102051,Europe,TMB,100k,Finland_102051_control,256.308258056641,17,6,27,105.53067779541,24.7843971252441,0,0.142403289675713,2.35945916175842,71.7784652709961,2370.0986328125,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
Finland_102073,Europe,TMB,100k,Finland_102073_control,341.498321533203,17,6,27,156.359237670898,24.228796005249,0,0.0395679697394371,3.19468140602112,71.1085052490234,866.785217285156,Cold,Boreal Forests/Taiga,Water
Finland_102071,Europe,TMB,100k,Finland_102071_control,186.354705810547,17,6,27,235.486618041992,23.177360534668,0,0.0351397432386875,0.46174281835556,58.6353492736816,1967.625,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
United States of America_1023,North America,SLN,100k,United States of America_1023_control,248.100952148438,19,13,5,1234.61645507813,37.4877700805664,0.000231848418479785,0.0779714584350586,18.5652446746826,18.6943016052246,1139.025390625,Arid,Deserts & Xeric Shrublands,Shrubs
Finland_102063,Europe,TMC,100k,Finland_102063_control,323.758850097656,5,6,27,152.959350585938,24.5691623687744,0,0.404408633708954,4.531418800354,53.0274047851563,2369.24169921875,Cold,Boreal Forests/Taiga,ClosedForestEvergreenNeedle
