control_for,Continent,functional_biome,control_within_dist,unique_id,nitrogen_depo,functional_biome_num,olson_biome_num,climatic_region_num,elevation,MaxTemp,BurnedAreaMean,human_modification,MAT,MAP,EVI,climatic_region,olson_biome,land_cover
United States of America_555662156,North America,TMB,100k,United States of America_555662156_control,744.987487792969,17,4,26,204.649322509766,28.4416522979736,0,0.410848140716553,8.857741355896,97.9498977661133,3453.82763671875,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662151,North America,TMB,100k,United States of America_555662151_control,984.272338867187,17,4,26,478.761901855469,28.6510009765625,0,0.343785613775253,8.97321033477783,82.1148529052734,3777.59912109375,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662160,North America,TMB,100k,United States of America_555662160_control,984.272338867187,17,4,26,506.960906982422,29.1171283721924,0,0.198179692029953,9.01723957061768,98.2262344360352,3820.11401367188,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662154,North America,TMC,100k,United States of America_555662154_control,736.20751953125,5,4,26,239.850036621094,27.5164413452148,0,0.383119940757751,8.21908473968506,109.680114746094,3275.31323242188,Cold,Temperate Broadleaf & Mixed Forests,OpenForestOther
United States of America_555662153,North America,TMC,100k,United States of America_555662153_control,720.554382324219,5,4,26,226.632553100586,28.7546730041504,0,0.159424990415573,7.6538348197937,101.96305847168,3685.19750976563,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestMixed
United States of America_555662162,North America,TMB,100k,United States of America_555662162_control,737.20947265625,17,4,26,411.830352783203,29.0817203521729,0,0.44946101307869,9.01656532287598,76.2377700805664,3634.9873046875,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662164,North America,TMB,100k,United States of America_555662164_control,735.772155761719,17,4,26,347.270721435547,28.7302150726318,0,0.345519989728928,9.20119953155518,102.000022888184,3720.87158203125,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662163,North America,TMB,100k,United States of America_555662163_control,670.104736328125,17,4,26,520.700805664063,26.0549945831299,0,0.358953058719635,7.46898365020752,123.43669128418,3500.88793945313,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662171,North America,TMB,100k,United States of America_555662171_control,902.472045898437,17,4,26,478.912780761719,28.2900352478027,0,0.378142416477203,9.14999294281006,109.70775604248,3734.23852539063,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
United States of America_555662166,North America,TMB,100k,United States of America_555662166_control,982.367492675781,17,4,26,379.1943359375,29.4284629821777,0,0.418974012136459,9.46840190887451,72.4123153686524,3585.36328125,Cold,Temperate Broadleaf & Mixed Forests,ClosedForestDeciduousBroad
