term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,super_biome,clean_term,sdt_error,sig_pn
(Intercept),0.0304033646227088,1.6810704568077,0.0705287322148386,-0.00254561633072222,0.0633523455761397,non-significant,mean_evi,not_cold_tall,Intercept,0.016810704568077,Non-Significant
n_depo_usa_coef,0.000866695458922395,0.179596523727874,0.629398482245927,-0.00265339640614393,0.00438678732398872,non-significant,mean_evi,not_cold_tall,N Deposition Trend,0.00179596523727874,Non-Significant
nitrogen_depo,-0.00241698780125197,0.547568978665812,0.658924568159954,-0.0131493397831019,0.00831536418059794,non-significant,mean_evi,not_cold_tall,N Deposition Mean,0.00547568978665812,Non-Significant
mat_coef,-0.00187318945479021,0.609288567303597,0.758511780481651,-0.0138152453739407,0.0100688664643603,non-significant,mean_evi,not_cold_tall,MAT Trend,0.00609288567303597,Non-Significant
max_temp_coef,0.00960924206311159,0.583743309339056,0.0997462734560727,-0.00183212679993391,0.0210506109261571,non-significant,mean_evi,not_cold_tall,Max Temp Trend,0.00583743309339056,Non-Significant
map_coef,0.0170738367021151,0.718170016043666,0.0174417072551584,0.00299770438765924,0.0311499690165709,significant,mean_evi,not_cold_tall,MAP Trend,0.00718170016043665,Sig. Positive
human_modification,0.00159027300517854,0.126860250070699,0.210011828096287,-0.000896187896207165,0.00407673390656425,non-significant,mean_evi,not_cold_tall,Human Modification,0.00126860250070699,Non-Significant
(Intercept),0.0417329454052569,2.4293575521367,0.0858382157967217,-0.0058824626166225,0.0893483534271363,non-significant,mean_evi,cold_short,Intercept,0.024293575521367,Non-Significant
n_depo_usa_coef,0.0186579744563785,0.267952514155448,3.43341424296221e-12,0.0134061051789317,0.0239098437338253,significant,mean_evi,cold_short,N Deposition Trend,0.00267952514155448,Sig. Positive
nitrogen_depo,0.00750831285647656,0.538046277013867,0.162887954503685,-0.00303739417299523,0.0180540198859483,non-significant,mean_evi,cold_short,N Deposition Mean,0.00538046277013867,Non-Significant
mat_coef,-0.00431536758538555,0.33688502265963,0.20022246928149,-0.0109183140295143,0.00228757885874319,non-significant,mean_evi,cold_short,MAT Trend,0.0033688502265963,Non-Significant
max_temp_coef,0.00276762060873652,0.490081449051524,0.57226621847338,-0.00683797579267336,0.0123732170101464,non-significant,mean_evi,cold_short,Max Temp Trend,0.00490081449051524,Non-Significant
map_coef,-0.00920601104359145,1.11477956849543,0.408919485156409,-0.0310556905861018,0.012643668498919,non-significant,mean_evi,cold_short,MAP Trend,0.0111477956849543,Non-Significant
human_modification,0.00492196200580004,0.0987129259562949,6.21291270783299e-07,0.00298718865705666,0.00685673535454342,significant,mean_evi,cold_short,Human Modification,0.000987129259562949,Sig. Positive
(Intercept),0.048039304508627,1.65756376270623,0.00375629369147878,0.0155510547595849,0.0805275542576691,significant,mean_evi,cold_tall,Intercept,0.0165756376270623,Sig. Positive
n_depo_usa_coef,0.000420830960623952,0.251607406220589,0.867169106243772,-0.00451067420129959,0.00535233612254749,non-significant,mean_evi,cold_tall,N Deposition Trend,0.00251607406220589,Non-Significant
nitrogen_depo,-0.00892158211668764,0.719593770186367,0.215057186292734,-0.0230256200123404,0.00518245577896515,non-significant,mean_evi,cold_tall,N Deposition Mean,0.00719593770186367,Non-Significant
mat_coef,0.0113303603038999,0.424931332251615,0.00767147365661574,0.00300170619176828,0.0196590144160316,significant,mean_evi,cold_tall,MAT Trend,0.00424931332251615,Sig. Positive
max_temp_coef,-0.00264346585615631,0.610065590334082,0.664794163338645,-0.0146007514267043,0.0093138197143917,non-significant,mean_evi,cold_tall,Max Temp Trend,0.00610065590334082,Non-Significant
map_coef,0.00134527355850559,1.00113456091815,0.893107134626477,-0.0182769638354902,0.0209675109525014,non-significant,mean_evi,cold_tall,MAP Trend,0.0100113456091815,Non-Significant
human_modification,0.00186892032430496,0.127544858719153,0.142849599574524,-0.000630958906590441,0.00436879955520036,non-significant,mean_evi,cold_tall,Human Modification,0.00127544858719153,Non-Significant
(Intercept),0.0227665235779869,2.25814149175998,0.31337137372668,-0.0214930496605088,0.0670260968164825,non-significant,mean_evi,not_cold_short,Intercept,0.0225814149175998,Non-Significant
n_depo_usa_coef,0.00181862051576883,0.0963842387131148,0.0591951074533838,-7.05105630082245e-05,0.00370775159454588,non-significant,mean_evi,not_cold_short,N Deposition Trend,0.000963842387131148,Non-Significant
nitrogen_depo,0.000828806725932085,0.596148251324333,0.889430192028317,-0.0108556990000248,0.012513312451889,non-significant,mean_evi,not_cold_short,N Deposition Mean,0.00596148251324333,Non-Significant
mat_coef,-0.00101110925444786,0.414578241474322,0.80731945591207,-0.00913684278734458,0.00711462427844885,non-significant,mean_evi,not_cold_short,MAT Trend,0.00414578241474322,Non-Significant
max_temp_coef,0.00877990944450285,0.56595815693342,0.120836448642687,-0.00231287043139217,0.0198726893203979,non-significant,mean_evi,not_cold_short,Max Temp Trend,0.0056595815693342,Non-Significant
map_coef,0.016909225019136,0.88939610456282,0.0572891642926416,-0.0005229386302953,0.0343413886685672,non-significant,mean_evi,not_cold_short,MAP Trend,0.00889396104562819,Non-Significant
human_modification,-0.00540587373705298,0.0953950003172417,1.47376240993773e-08,-0.00727561574327092,-0.00353613173083504,significant,mean_evi,not_cold_short,Human Modification,0.000953950003172417,Sig. Negative
