term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,olson_biome,clean_term,sdt_error,sig_pn
(Intercept),-5.23090219984101e-07,3.20733514002964e-05,0.10291990944596,-1.15172790742991e-06,1.05547467461709e-07,non-significant,burned_area,Temperate Broadleaf & Mixed Forests,Intercept,3.20733514002964e-07,Non-Significant
nitrogen_depo,-8.77854015796754e-08,1.69233361229891e-05,0.60395775766124,-4.19482789590261e-07,2.43911986430911e-07,non-significant,burned_area,Temperate Broadleaf & Mixed Forests,Nitrogen Deposition,1.69233361229891e-07,Non-Significant
mat_coef,-2.79249323435116e-06,4.8500008828557e-05,8.62405577185063e-09,-3.74309340739087e-06,-1.84189306131144e-06,significant,burned_area,Temperate Broadleaf & Mixed Forests,MAT Trend,4.8500008828557e-07,Sig. Negative
max_temp_coef,1.12232114931069e-07,2.41485874257957e-05,0.642109867646117,-3.61080198614527e-07,5.85544428476666e-07,non-significant,burned_area,Temperate Broadleaf & Mixed Forests,Max Temp Trend,2.41485874257957e-07,Non-Significant
map_coef,-1.36771017518488e-09,3.85609208587569e-05,0.997170031769318,-7.57161759006819e-07,7.54426338656449e-07,non-significant,burned_area,Temperate Broadleaf & Mixed Forests,MAP Trend,3.85609208587569e-07,Non-Significant
human_modification,3.98157633059543e-07,1.67911063085167e-05,0.0177358675826147,6.90519494126155e-08,7.2726331670647e-07,significant,burned_area,Temperate Broadleaf & Mixed Forests,Human Modification,1.67911063085167e-07,Sig. Positive
(Intercept),-7.16731737870176e-06,8.22092636235465e-05,2.98155137579088e-18,-8.77861894572327e-06,-5.55601581168025e-06,significant,burned_area,"Temperate Grasslands, Savannas & Shrublands",Intercept,8.22092636235465e-07,Sig. Negative
nitrogen_depo,8.82744237221812e-06,0.000158762830323164,2.72108137557311e-08,5.7156908978841e-06,1.19391938465521e-05,significant,burned_area,"Temperate Grasslands, Savannas & Shrublands",Nitrogen Deposition,1.58762830323164e-06,Sig. Positive
mat_coef,-3.8315073420662e-06,0.000118862379769927,0.00126793173962014,-6.16120998555677e-06,-1.50180469857563e-06,significant,burned_area,"Temperate Grasslands, Savannas & Shrublands",MAT Trend,1.18862379769927e-06,Sig. Negative
max_temp_coef,1.80004567618943e-06,7.9049107092074e-05,0.0227866726618824,2.50683177184783e-07,3.34940817519409e-06,significant,burned_area,"Temperate Grasslands, Savannas & Shrublands",Max Temp Trend,7.9049107092074e-07,Sig. Positive
map_coef,-4.86149161904821e-06,0.000236640218151993,0.039948469146487,-9.49963989482728e-06,-2.23343343269138e-07,significant,burned_area,"Temperate Grasslands, Savannas & Shrublands",MAP Trend,2.36640218151993e-06,Sig. Negative
human_modification,2.36583573347303e-07,4.99740343703914e-05,0.635922400024366,-7.42907500312369e-07,1.21607464700697e-06,non-significant,burned_area,"Temperate Grasslands, Savannas & Shrublands",Human Modification,4.99740343703914e-07,Non-Significant
(Intercept),-5.72648567501255e-07,3.14181598350064e-05,0.0683680358866118,-1.18844450026738e-06,4.314736526487e-08,non-significant,burned_area,Montane Grasslands & Shrublands,Intercept,3.14181598350064e-07,Non-Significant
