term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,super_biome,clean_term,sdt_error,sig_pn
(Intercept),0.0302976040976894,1.67958063059539,0.0712614391615484,-0.00262217626198027,0.063217384457359,non-significant,mean_evi,not_cold_tall,Intercept,0.0167958063059539,Non-Significant
n_depo_usa_coef,0.00095696556278916,0.179610212747936,0.594175527886138,-0.00256339460707038,0.0044773257326487,non-significant,mean_evi,not_cold_tall,N Deposition Trend,0.00179610212747936,Non-Significant
mat_coef,-0.00187413331236514,0.60881028823016,0.758210000069929,-0.0138068149616763,0.010058548336946,non-significant,mean_evi,not_cold_tall,MAT Trend,0.0060881028823016,Non-Significant
max_temp_coef,0.00960663152211035,0.583380513326867,0.099627713458114,-0.00182762653909625,0.0210408895833169,non-significant,mean_evi,not_cold_tall,Max Temp Trend,0.00583380513326867,Non-Significant
map_coef,0.0165902792876698,0.715038620545266,0.0203378547368785,0.00257552232498254,0.030605036250357,significant,mean_evi,not_cold_tall,MAP Trend,0.00715038620545266,Sig. Positive
human_modification,0.00148269688101409,0.129915707815152,0.253765214116902,-0.00106365099216288,0.00402904475419107,non-significant,mean_evi,not_cold_tall,Human Modification,0.00129915707815152,Non-Significant
(Intercept),0.0417410648765164,2.42621121301033,0.0853717280985013,-0.00581267489848598,0.0892948046515188,non-significant,mean_evi,cold_short,Intercept,0.0242621121301033,Non-Significant
n_depo_usa_coef,0.0185244616032518,0.267820370918605,4.76492594769196e-12,0.0132751823332472,0.0237737408732565,significant,mean_evi,cold_short,N Deposition Trend,0.00267820370918605,Sig. Positive
mat_coef,-0.00427524344679127,0.336567178550373,0.204010919456107,-0.0108719601463786,0.00232147325279605,non-significant,mean_evi,cold_short,MAT Trend,0.00336567178550373,Non-Significant
max_temp_coef,0.00228567259017412,0.490147822137079,0.640989462521384,-0.00732122472371262,0.0118925699040609,non-significant,mean_evi,cold_short,Max Temp Trend,0.00490147822137079,Non-Significant
map_coef,-0.00843320214095414,1.11557149079524,0.449686215806788,-0.0302984033605408,0.0134319990786325,non-significant,mean_evi,cold_short,MAP Trend,0.0111557149079524,Non-Significant
human_modification,0.00498531847952207,0.0992099335987558,5.07848098373028e-07,0.00304080378098645,0.00692983317805768,significant,mean_evi,cold_short,Human Modification,0.000992099335987558,Sig. Positive
(Intercept),0.0460799817517909,1.65481657396517,0.00536316300390952,0.0136455769020736,0.0785143866015081,significant,mean_evi,cold_tall,Intercept,0.0165481657396517,Sig. Positive
n_depo_usa_coef,0.000556550392179434,0.252252679083726,0.825380575755622,-0.00438760211786159,0.00550070290222045,non-significant,mean_evi,cold_tall,N Deposition Trend,0.00252252679083726,Non-Significant
mat_coef,0.0113964455705889,0.42578202444323,0.00744203147577508,0.00305111789150159,0.0197417732496762,significant,mean_evi,cold_tall,MAT Trend,0.0042578202444323,Sig. Positive
max_temp_coef,-0.00249170608961661,0.610920560945999,0.683379045747212,-0.0144657490841582,0.00948233690492497,non-significant,mean_evi,cold_tall,Max Temp Trend,0.00610920560945999,Non-Significant
map_coef,-0.00191464127155203,1.0005971340717,0.848252939297201,-0.0215263450993573,0.0176970625562532,non-significant,mean_evi,cold_tall,MAP Trend,0.010005971340717,Non-Significant
human_modification,0.00156239775842073,0.130273818453993,0.230414757815432,-0.000990969083277529,0.00411576460011898,non-significant,mean_evi,cold_tall,Human Modification,0.00130273818453993,Non-Significant
(Intercept),0.0225300727452436,2.25936503880984,0.318685744300606,-0.0217534820154293,0.0668136275059165,non-significant,mean_evi,not_cold_short,Intercept,0.0225936503880984,Non-Significant
n_depo_usa_coef,0.00180959362077565,0.096435731224277,0.0606038116353465,-8.05467112201752e-05,0.00369973395277148,non-significant,mean_evi,not_cold_short,N Deposition Trend,0.00096435731224277,Non-Significant
mat_coef,-0.000965189075760831,0.414755685161408,0.815986796771684,-0.00909440050492442,0.00716402235340276,non-significant,mean_evi,not_cold_short,MAT Trend,0.00414755685161407,Non-Significant
max_temp_coef,0.00881154215987467,0.564631375593018,0.11863725402619,-0.00225523280174849,0.0198783171214978,non-significant,mean_evi,not_cold_short,Max Temp Trend,0.00564631375593018,Non-Significant
map_coef,0.0171189746978845,0.89313779860326,0.0552867746210917,-0.000386526154739419,0.0346244755505084,non-significant,mean_evi,not_cold_short,MAP Trend,0.0089313779860326,Non-Significant
human_modification,-0.00538473347391794,0.0959847865813852,2.04900134469785e-08,-0.00726603529091309,-0.00350343165692279,significant,mean_evi,not_cold_short,Human Modification,0.000959847865813852,Sig. Negative
