term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,functional_biome,clean_term,sdt_error,sig_pn
mat_coef,-0.00197641822490834,0.0603072186741509,0.00104943055968379,-0.00315843971092169,-0.000794396738894979,significant,greenup,THD,MAT Trend,0.000603072186741509,Sig. Negative
max_temp_coef,0.000548710739726884,0.0461813816565206,0.23477808078975,-0.000356444340740919,0.00145386582019469,non-significant,greenup,THD,Max Temp Trend,0.000461813816565206,Non-Significant
map_coef,-0.000397419653858719,0.0306293857775587,0.194465428430657,-0.00099775561509887,0.000202916307381432,non-significant,greenup,THD,MAP Trend,0.000306293857775587,Non-Significant
human_modification,-0.000668996876926542,0.0178508747156824,0.000178800492236798,-0.00101887402135392,-0.000319119732499166,significant,greenup,THD,Human Modification,0.000178508747156824,Sig. Negative
(Intercept),0.00186151404108869,0.0681697960295593,0.00632125644334939,0.000525386038909324,0.00319764204326805,significant,greenup,SLB,Intercept,0.000681697960295593,Sig. Positive
nitrogen_depo,0.00135707033764018,0.0477774108502375,0.00450674471749812,0.00042063308497552,0.00229350759030483,significant,greenup,SLB,Nitrogen Deposition,0.000477774108502375,Sig. Positive
mat_coef,0.000171695526814172,0.0478960350800945,0.719988425622983,-0.000767066760755681,0.00111045781438402,non-significant,greenup,SLB,MAT Trend,0.000478960350800945,Non-Significant
max_temp_coef,-4.47183280165764e-05,0.0173290199566127,0.796365415040722,-0.000384367119166186,0.000294930463133033,non-significant,greenup,SLB,Max Temp Trend,0.000173290199566127,Non-Significant
map_coef,-0.0019841068022772,0.0954165390159435,0.0375821115817929,-0.00385427096698969,-0.000113942637564709,significant,greenup,SLB,MAP Trend,0.000954165390159435,Sig. Negative
human_modification,0.000325146955299858,0.0185721372108629,0.0799969762472108,-3.88669340330539e-05,0.000689160844632771,non-significant,greenup,SLB,Human Modification,0.000185721372108629,Non-Significant
(Intercept),0.00238761495115828,0.0814312464737673,0.00336923204281131,0.000791562520272444,0.00398366738204412,significant,greenup,TLB,Intercept,0.000814312464737673,Sig. Positive
nitrogen_depo,0.00335230909220015,0.0785829280863403,1.99541536918282e-05,0.00181208370170788,0.00489253448269242,significant,greenup,TLB,Nitrogen Deposition,0.000785829280863403,Sig. Positive
mat_coef,-0.00125292736795259,0.0516833194725194,0.0153452023301493,-0.00226592042961397,-0.000239934306291212,significant,greenup,TLB,MAT Trend,0.000516833194725194,Sig. Negative
max_temp_coef,-3.32607448733391e-05,0.0308880487654861,0.914248844338235,-0.000638666500676867,0.000572145010930189,non-significant,greenup,TLB,Max Temp Trend,0.000308880487654861,Non-Significant
map_coef,-0.00129461429874099,0.105184493469747,0.218404157354689,-0.00335623037074803,0.000767001773266044,non-significant,greenup,TLB,MAP Trend,0.00105184493469747,Non-Significant
human_modification,-0.000109266413592728,0.0216421834370831,0.613648183030704,-0.000533453208959556,0.000314920381774101,non-significant,greenup,TLB,Human Modification,0.000216421834370831,Non-Significant
