term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,olson_biome,clean_term,sdt_error,sig_pn
(Intercept),0.000114264119566765,0.108264232418117,0.915946663274305,-0.00200771483582833,0.00223624307496186,non-significant,greenup,Temperate Broadleaf & Mixed Forests,Intercept,0.00108264232418117,Non-Significant
nitrogen_depo,-0.000250890486997362,0.018527924231603,0.175709861769293,-0.000614037801936781,0.000112256827942057,non-significant,greenup,Temperate Broadleaf & Mixed Forests,Nitrogen Deposition,0.00018527924231603,Non-Significant
mat_coef,0.00051895251954309,0.0468151533931116,0.267650395268805,-0.000398624486961897,0.00143652952604808,non-significant,greenup,Temperate Broadleaf & Mixed Forests,MAT Trend,0.000468151533931116,Non-Significant
max_temp_coef,0.000337526345142061,0.0182660100638774,0.0646373378319386,-2.04874521099356e-05,0.000695540142394058,non-significant,greenup,Temperate Broadleaf & Mixed Forests,Max Temp Trend,0.000182660100638774,Non-Significant
map_coef,0.000357562630098882,0.0281302635798244,0.203706163298931,-0.000193790536065675,0.000908915796263439,non-significant,greenup,Temperate Broadleaf & Mixed Forests,MAP Trend,0.000281302635798244,Non-Significant
human_modification,-8.36235875028907e-05,0.00587360528848756,0.154540339275137,-0.000198746251157247,3.14990761514656e-05,non-significant,greenup,Temperate Broadleaf & Mixed Forests,Human Modification,5.87360528848756e-05,Non-Significant
(Intercept),0.00172644260655973,0.133284932113826,0.195227125587736,-0.000885942062871256,0.00433882727599072,non-significant,greenup,"Temperate Grasslands, Savannas & Shrublands",Intercept,0.00133284932113826,Non-Significant
nitrogen_depo,0.000672549566639574,0.118780129374807,0.571253124425568,-0.00165554096910664,0.00300064010238579,non-significant,greenup,"Temperate Grasslands, Savannas & Shrublands",Nitrogen Deposition,0.00118780129374807,Non-Significant
mat_coef,0.00265767221774115,0.100875953299455,0.00842861123534232,0.000680503533071824,0.00463484090241047,significant,greenup,"Temperate Grasslands, Savannas & Shrublands",MAT Trend,0.00100875953299455,Sig. Positive
max_temp_coef,-0.001308222995588,0.0575143995708877,0.0229377215092607,-0.0024355052271774,-0.000180940763998602,significant,greenup,"Temperate Grasslands, Savannas & Shrublands",Max Temp Trend,0.000575143995708877,Sig. Negative
