term,estimate,std_error,p_value,ci_lb,ci_ub,sig,response,functional_biome,clean_term,sdt_error,sig_pn
map_coef,-0.00349157522975116,0.488549226153968,0.474816487923192,-0.0130671400623689,0.00608398960286661,non-significant,mean_evi,SMD,MAP Trend,0.00488549226153968,Non-Significant
human_modification,-0.00157434360358322,0.157154791237727,0.316466584094897,-0.00465457751184267,0.00150589030467623,non-significant,mean_evi,SMD,Human Modification,0.00157154791237727,Non-Significant
(Intercept),0.0586281225697783,1.19751514455084,9.84092367033799e-07,0.0351568257365818,0.0820994194029748,significant,mean_evi,THD,Intercept,0.0119751514455084,Sig. Positive
mean_n_depo_zhu,0.0265956546263558,0.399826634061161,2.94525878848934e-11,0.0187590525987571,0.0344322566539546,significant,mean_evi,THD,Nitrogen Deposition (Zhu),0.00399826634061161,Sig. Positive
mat_coef,-0.0136293018356287,0.736924054576678,0.0643976350383429,-0.0280730133053316,0.000814409634074178,non-significant,mean_evi,THD,MAT Trend,0.00736924054576678,Non-Significant
max_temp_coef,0.00409329940993378,0.558553834851969,0.463662477733082,-0.0068543557531648,0.0150409545730324,non-significant,mean_evi,THD,Max Temp Trend,0.00558553834851969,Non-Significant
map_coef,-0.00083117829062736,0.355140073257831,0.814953677706439,-0.00779192372648084,0.00612956714522612,non-significant,mean_evi,THD,MAP Trend,0.00355140073257831,Non-Significant
human_modification,-0.00282941859167502,0.189147535617029,0.134695698925222,-0.00653671028976878,0.000877873106418741,non-significant,mean_evi,THD,Human Modification,0.00189147535617029,Non-Significant
(Intercept),0.0695208086501784,0.927793550433861,6.79188479638946e-14,0.0513360550616747,0.0877055622386821,significant,mean_evi,SLB,Intercept,0.00927793550433861,Sig. Positive
mean_n_depo_zhu,0.00720717929336168,0.19705577823172,0.000254914600730254,0.00334488604001997,0.0110694725467034,significant,mean_evi,SLB,Nitrogen Deposition (Zhu),0.0019705577823172,Sig. Positive
mat_coef,0.000938125913070764,0.471784092791957,0.842383352419832,-0.00830884230565159,0.0101850941317931,non-significant,mean_evi,SLB,MAT Trend,0.00471784092791957,Non-Significant
max_temp_coef,-0.00266054505201498,0.18487987600017,0.150135382991347,-0.00628419062161831,0.000963100517588353,non-significant,mean_evi,SLB,Max Temp Trend,0.0018487987600017,Non-Significant
map_coef,0.00360134076380684,0.866222585991363,0.677592314331643,-0.0133766219216239,0.0205793034492376,non-significant,mean_evi,SLB,MAP Trend,0.00866222585991363,Non-Significant
human_modification,0.00712253522976941,0.150594121358653,2.25308941749889e-06,0.00417089045113982,0.010074180008399,significant,mean_evi,SLB,Human Modification,0.00150594121358653,Sig. Positive
(Intercept),0.0595226295200636,1.23718880473916,1.50671897905147e-06,0.0352737289471761,0.0837715300929511,significant,mean_evi,TLB,Intercept,0.0123718880473916,Sig. Positive
mean_n_depo_zhu,0.00749914997941448,0.68483322830454,0.273509227235623,-0.00592358129535451,0.0209218812541835,non-significant,mean_evi,TLB,Nitrogen Deposition (Zhu),0.0068483322830454,Non-Significant
mat_coef,-0.00346880235591646,0.953968050341111,0.716145120182423,-0.0221665761426022,0.0152289714307693,non-significant,mean_evi,TLB,MAT Trend,0.00953968050341111,Non-Significant
max_temp_coef,-0.0150817371766196,0.596185487300162,0.0114199031163833,-0.0267669727277028,-0.00339650162553642,significant,mean_evi,TLB,Max Temp Trend,0.00596185487300162,Sig. Negative
map_coef,-0.0373790285055983,1.95399486450997,0.0557615382336332,-0.0756773278499937,0.000919270838797082,non-significant,mean_evi,TLB,MAP Trend,0.0195399486450997,Non-Significant
human_modification,0.00313931665991805,0.477290840167478,0.510711434992261,-0.00621558380736451,0.0124942171272006,non-significant,mean_evi,TLB,Human Modification,0.00477290840167478,Non-Significant
